SERVICE ADDRESS,BILLING NAME,SWR ACCT,ACCT#,SEQ#,AWPCA REF,SHED,SEQ #,IRRIG,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,GALLONS,EDU,Bill
11 ARCH RD,TOWN OF AVON-GARAGE,1090011,,,,SIMS,,,,,10000,,,88000,,,61000,,,12000,"171,000",2.23,1338
11 ARCH RD,TOWN OF AVON (T.W.S),1090011,,,,SIMS,,,,,0,,,"1,000",,,0,,,0,"1,000",0.01,6
11 ARCH RD,TOWN OF AVON (DOG S),1090011,1090011,1,,SIMS,,,,,39000,,,"7,000",,,"38,000",,,"62,000","146,000",1.9,1140
21 ARCH RD,21 ARCH RD ASSOC INC,1090021,1090021,2,,SIMS,,,,,8000,,,"9,000",,,"7,000",,,"7,000","31,000",0.4,240
25 ARTS CENTER LANE,FARM.VALLEY ARTS CENTER,1140025,1140025,3,,SIMS,,,,,1000,,,1000,,,1000,,,1000,"4,000",0.05,30
27 ARTS CENTER LANE,FARM.VALLEY ARTS CENTER,1140027,1140027,4,,SIMS,,,,,29000,,,22000,,,17000,,,22000,"90,000",1.17,702
21 ARTS CENTER LANE,AVON TOWN CENTER LLC,2210021,,,,SIMS,,,,,31000,,,"43,000",,,"48,000",,,"37,000","159,000",2.07,1242
23 ARTS CENTER CT,AVON TOWN CENTER LLC,2210021,,,,SIMS,,,,,7000,,,6000,,,5000,,,4000,"22,000",0.29,174
23 ARTS CENTER CT,AVON TOWN CENTER LLC - IRRIG,2210021,,,N,SIMS,,,,,9000,,,94000,,,35000,,,0,"138,000",1.8,1080
19 BROOKSIDE CT,AVON TOWN CENTER LLC,2210021,,,,SIMS,,,,,9000,,,7000,,,8000,,,8000,"32,000",0.42,252
19 BROOKSIDE CT,AVON TOWN CENTER LLC - IRRIG.,2210021,,,N,SIMS,,,,,13000,,,115000,,,21000,,,0,"149,000",1.94,1164
8 CANAL CT,AVON TOWN CENTER LLC,2210021,,,,SIMS,,,,,26000,,,13000,,,12000,,,12000,"63,000",0.82,492
11 CANAL CT,AVON TOWN CENTER LLC,2210021,,,,SIMS,,,,,1000,,,0,,,0,,,0,"1,000",0.01,6
5 ENSIGN DR,AVON TOWN CENTER LLC,2210021,,,,SIMS,,,,,0,,,1000,,,0,,,1000,"2,000",0.03,18
5 ENSIGN DR,AVON TOWN CENTER LLC,2210021,,,N,SIMS,,,,,3000,,,19000,,,4000,,,0,"26,000",0.34,204
31 ENSIGN DR,AVON TOWN CENTER LLC,2210021,,,,SIMS,,,,,28000,,,20000,,,13000,,,15000,"76,000",0.99,594
31 ENSIGN DR,AVON TOWN CENTER LLC - IRRIG.,2210021,,,N,SIMS,,,,,10000,,,81000,,,17000,,,0,"108,000",1.41,846
7 WATERSIDE CT,AVON TOWN CENTER LLC,2210021,,,,SIMS,,,,,1000,,,1000,,,1000,,,0,"3,000",0.04,24
7 WATERSIDE CT,AVON TOWN CENTER LLC - IRRIG.,2210021,,,,SIMS,,,,,1000,,,1000,,,1000,,,0,"3,000",0.04,24
9 WATERSIDE CT,AVON TOWN CENTER,2210021,,,,SIMS,,,,,0,,,1000,,,0,,,1000,"2,000",0.03,18
12 WATERSIDE CT,AVON TOWN CENTER,2210021,2210021,5,,SIMS,,,,,4000,,,4000,,,4000,,,3000,"15,000",0.2,120
10 AVON MEADOW LANE,ROBERT HENSLEY & ASSOC,1161010,,,,SIMS,,,,,12000,,,"19,000",,,"63,000",,,"57,000","151,000",1.97,1182
10 AVON MEADOW LANE,AV.MEADOW CONDO ASSOC.INC,1162010,1162010,6,N,SIMS,,,,,89000,,,1980000,,,207000,,,0,"2,276,000",29.69,17814
