PARCEL_ID,STREET,Current_Connection,COMACT,Wtr_Supp,DOM_WATER,SDATE,Sold_2021,low2_dbld_values,charge_1000_gals,low 2 x base(4.53),calc minimum 180,Oct_Cost_Num,April_Cost,Calc_Tot_Ann_Cost, Tot_Ann_Cost_num ,
5810001,ABBOTTSFORD,TOASewer,RES,PUBLIC,PUBLIC,19-Feb-03,N/A,46,$4.53 ,$208.38 ,$208.38 ,$208.38 ,$257.50 ,$465.88 ,$465.88 ,
5810002,ABBOTTSFORD,TOASewer,RES,PUBLIC,PUBLIC,10-Dec-15,N/A,36,$4.53 ,$163.08 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
5810003,ABBOTTSFORD,TOASewer,RES,PUBLIC,PUBLIC,16-Dec-14,N/A,28,$4.53 ,$126.84 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
5810004,ABBOTTSFORD,TOASewer,RES,PUBLIC,PUBLIC,31-Jul-18,N/A,34,$4.53 ,$154.02 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
5810005,ABBOTTSFORD,TOASewer,RES,PUBLIC,PUBLIC,3-Dec-19,N/A,40,$4.53 ,$181.20 ,$181.20 ,$181.20 ,$257.50 ,$438.70 ,$438.70 ,
5810006,ABBOTTSFORD,TOASewer,RES,PUBLIC,PUBLIC,28-May-03,N/A,24,$4.53 ,$108.72 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1010001,ACORN GLEN,TOASewer,RES,PUBLIC,PUBLIC,20-Apr-21,Y,N/A,N/A,N/A,,$257.50 ,$257.50 ,$515.00 ,$515.00 ,
1010002,ACORN GLEN,TOASewer,RES,PUBLIC,PUBLIC,20-Mar-06,N/A,38,$4.53 ,$172.14 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1010003,ACORN GLEN,TOASewer,RES,PUBLIC,PUBLIC,28-Jun-85,N/A,46,$4.53 ,$208.38 ,$208.38 ,$208.38 ,$257.50 ,$465.88 ,$465.88 ,
1010004,ACORN GLEN,TOASewer,RES,PUBLIC,PUBLIC,25-Jun-21,Y,N/A,N/A,N/A,,$257.50 ,$257.50 ,$515.00 ,$515.00 ,
1010005,ACORN GLEN,TOASewer,RES,PUBLIC,PUBLIC,19-Oct-18,N/A,24,$4.53 ,$108.72 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1010006,ACORN GLEN,TOASewer,RES,PUBLIC,PUBLIC,29-Apr-14,N/A,28,$4.53 ,$126.84 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1010007,ACORN GLEN,TOASewer,RES,PUBLIC,PUBLIC,5-Apr-02,N/A,52,$4.53 ,$235.56 ,$235.56 ,$235.56 ,$257.50 ,$493.06 ,$493.06 ,
1010008,ACORN GLEN,TOASewer,RES,PUBLIC,PUBLIC,31-Oct-14,N/A,14,$4.53 ,$63.42 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1010009,ACORN GLEN,TOASewer,RES,PUBLIC,PUBLIC,18-Aug-98,N/A,32,$4.53 ,$144.96 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1010010,ACORN GLEN,TOASewer,RES,PUBLIC,PUBLIC,22-Sep-05,N/A,58,$4.53 ,$262.74 ,$262.74 ,$262.74 ,$257.50 ,$520.24 ,$520.24 ,
6100002,ALCOTT WAY,TOASewer,RES,PUBLIC,PUBLIC,2-May-11,N/A,48,$4.53 ,$217.44 ,$217.44 ,$217.44 ,$257.50 ,$474.94 ,$474.94 ,
6100006,ALCOTT WAY,TOASewer,RES,PUBLIC,PUBLIC,27-May-10,N/A,54,$4.53 ,$244.62 ,$244.62 ,$244.62 ,$257.50 ,$502.12 ,$502.12 ,
6100010,ALCOTT WAY,TOASewer,RES,PUBLIC,PUBLIC,23-Mar-05,N/A,36,$4.53 ,$163.08 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
6100015,ALCOTT WAY,TOASewer,RES,PUBLIC,PUBLIC,12-Oct-04,N/A,40,$4.53 ,$181.20 ,$181.20 ,$181.20 ,$257.50 ,$438.70 ,$438.70 ,
6100016,ALCOTT WAY,TOASewer,RES,PUBLIC,PUBLIC,29-Aug-14,N/A,92,$4.53 ,$416.76 ,$416.76 ,$416.76 ,$257.50 ,$674.26 ,$674.26 ,
6100018,ALCOTT WAY,TOASewer,RES,PUBLIC,PUBLIC,20-Jun-16,N/A,82,$4.53 ,$371.46 ,$371.46 ,$371.46 ,$257.50 ,$628.96 ,$628.96 ,
6100019,ALCOTT WAY,TOASewer,RES,PUBLIC,PUBLIC,16-Oct-15,N/A,114,$4.53 ,$516.42 ,$516.42 ,$516.42 ,$257.50 ,$773.92 ,$773.92 ,
6100022,ALCOTT WAY,TOASewer,RES,PUBLIC,PUBLIC,2-Oct-15,N/A,4,$4.53 ,$18.12 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
6100025,ALCOTT WAY,TOASewer,RES,PUBLIC,PUBLIC,13-Dec-21,Y,N/A,N/A,N/A,,$257.50 ,$257.50 ,$515.00 ,$515.00 ,
6100026,ALCOTT WAY,TOASewer,RES,PUBLIC,PUBLIC,16-Jun-14,N/A,74,$4.53 ,$335.22 ,$335.22 ,$335.22 ,$257.50 ,$592.72 ,$592.72 ,
6100029,ALCOTT WAY,TOASewer,RES,PUBLIC,PUBLIC,27-Jan-16,N/A,52,$4.53 ,$235.56 ,$235.56 ,$235.56 ,$257.50 ,$493.06 ,$493.06 ,
6100030,ALCOTT WAY,TOASewer,RES,PUBLIC,PUBLIC,10-Mar-16,N/A,84,$4.53 ,$380.52 ,$380.52 ,$380.52 ,$257.50 ,$638.02 ,$638.02 ,
6100033,ALCOTT WAY,TOASewer,RES,PUBLIC,PUBLIC,9-May-11,N/A,52,$4.53 ,$235.56 ,$235.56 ,$235.56 ,$257.50 ,$493.06 ,$493.06 ,
6100034,ALCOTT WAY,TOASewer,RES,PUBLIC,PUBLIC,25-Jul-16,N/A,52,$4.53 ,$235.56 ,$235.56 ,$235.56 ,$257.50 ,$493.06 ,$493.06 ,
6100038,ALCOTT WAY,TOASewer,RES,PUBLIC,PUBLIC,7-Jan-05,N/A,92,$4.53 ,$416.76 ,$416.76 ,$416.76 ,$257.50 ,$674.26 ,$674.26 ,
1020001,ALDER LANE,TOASewer,RES,PUBLIC,PUBLIC,28-Apr-86,N/A,32,$4.53 ,$144.96 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1020002,ALDER LANE,TOASewer,RES,PUBLIC,PUBLIC,29-Dec-17,N/A,30,$4.53 ,$135.90 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1020003,ALDER LANE,TOASewer,RES,PUBLIC,PUBLIC,1-Oct-15,N/A,30,$4.53 ,$135.90 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1020004,ALDER LANE,TOASewer,RES,PUBLIC,PUBLIC,1-Apr-19,N/A,58,$4.53 ,$262.74 ,$262.74 ,$262.74 ,$257.50 ,$520.24 ,$520.24 ,
1020005,ALDER LANE,TOASewer,RES,PUBLIC,PUBLIC,9-Mar-99,N/A,12,$4.53 ,$54.36 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1020006,ALDER LANE,TOASewer,RES,PUBLIC,PUBLIC,7-Jun-11,N/A,12,$4.53 ,$54.36 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1020007,ALDER LANE,TOASewer,RES,PUBLIC,PUBLIC,22-May-15,N/A,46,$4.53 ,$208.38 ,$208.38 ,$208.38 ,$257.50 ,$465.88 ,$465.88 ,
1020008,ALDER LANE,TOASewer,RES,PUBLIC,PUBLIC,22-Mar-19,N/A,52,$4.53 ,$235.56 ,$235.56 ,$235.56 ,$257.50 ,$493.06 ,$493.06 ,
1020009,ALDER LANE,TOASewer,RES,PUBLIC,PUBLIC,22-Dec-86,N/A,38,$4.53 ,$172.14 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1020010,ALDER LANE,TOASewer,RES,PUBLIC,PUBLIC,30-Nov-16,N/A,12,$4.53 ,$54.36 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1040001,ALPINE MEADOW LANE,TOASewer,RES,PUBLIC,PUBLIC,19-Mar-04,N/A,14,$4.53 ,$63.42 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1040002,ALPINE MEADOW LANE,TOASewer,RES,PUBLIC,PUBLIC,21-Oct-04,N/A,28,$4.53 ,$126.84 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1040003,ALPINE MEADOW LANE,TOASewer,RES,PUBLIC,PUBLIC,15-May-19,N/A,26,$4.53 ,$117.78 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
1040004,ALPINE MEADOW LANE,TOASewer,RES,PUBLIC,PUBLIC,27-Aug-19,N/A,24,$4.53 ,$108.72 ,$180.00 ,$180.00 ,$257.50 ,$437.50 ,$437.50 ,
