"LIST ","DATE      ","TIME    ","TYPE","AMT1                            ","INT1                            ","AMT2                            ","INT2                            ","LIEN                            ","FEES                            ","DESC                    ","CERT#  ","SEQ    ","AGROSS                        ","BATCH","YR  " 
"00001","07-18-2022","        ","P ",                         4296.30,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,    175,                             0,"0029","2021" 
"00001","01-09-2023","        ","P ",                            0.00,                            0.00,                         4296.29,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     92,                             0,"0296","2021" 
"00002","07-27-2022","        ","P ",                         5450.56,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,    100,                             0,"0056","2021" 
"00002","01-30-2023","        ","P ",                            0.00,                            0.00,                         5450.55,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,      4,                             0,"0348","2021" 
"00003","07-22-2022","        ","P ",                         8809.80,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0043","2021" 
"00003","01-30-2023","        ","P ",                            0.00,                            0.00,                         8809.80,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0346","2021" 
"00004","07-12-2022","        ","P ",                         5685.91,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"LOCKBOX                 ",      0,      1,                             0,"0016","2021" 
"00004","01-09-2023","        ","P ",                            0.00,                            0.00,                         5685.90,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,    134,                             0,"0296","2021" 
"00005","07-25-2022","        ","P ",                           18.34,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"LOCKBOX                 ",      0,      1,                             0,"0047","2021" 
"00005","07-28-2022","14:05:27","P ",                           18.34,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,      1,                             0,"0055","2021" 
"00005","11-16-2022","        ","P ",                          -18.34,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ",      0,     36,                             0,"0221","2021" 
"00006","07-27-2022","        ","P ",                         6622.97,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,    118,                             0,"0054","2021" 
"00006","01-27-2023","        ","P ",                            0.00,                            0.00,                         6622.97,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     27,                             0,"0342","2021" 
"00007","06-30-2022","        ","P ",                         6817.13,                            0.00,                         6817.13,                            0.00,                            0.00,                            0.00,"BOTH PAYMENTS           ",      0,    142,                             0,"0375","2021" 
"00008","07-29-2022","        ","P ",                         2657.70,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,    108,                             0,"0065","2021" 
"00008","02-01-2023","        ","P ",                            0.00,                            0.00,                         2657.70,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     67,                             0,"0357","2021" 
"00009","07-31-2022","        ","P ",                         7763.37,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"LOCKBOX                 ",      0,      1,                             0,"0067","2021" 
"00009","12-19-2022","        ","P ",                            0.00,                            0.00,                         7763.37,                            0.00,                            0.00,                            0.00,"INVOICE CLOUD           ",      0,      1,                             0,"0261","2021" 
