"BANK","TX  ","OLDBK","DESC                                ","BADDR                           ","B2ADDR                          ","BCITYST                         ","CONTACT                       ","PHONE           " 
"006","    ","    ","COLLINSVILLE SAVINGS BANK           ","250 ALBANY TPKE                 ","PO BOX 350                      ","CANTON CT                       ","HEATHER DRUCE                 ","860-693-6936    " 
"009","    ","    ","FARMINGTON BANK                     ","ONE FARM GLEN BLVD              ","                                ","FARMINGTON CT 06032             ","SHEILA PARKER                 ","860-284-6642    " 
"019","    ","    ","MCCUE MORTGAGE COMPANY              ","ONE LIBERTY SQUARE              ","P.O. BOX 1000                   ","NEW BRITAIN CT 06050            ","DONNA BARBIERI                ","18003820017X403 " 
"025","    ","    ","NORTHWEST COMMUNITY BANK            ","86 MAIN STREET                  ","P.O. BOX 1019                   ","WINSTED CT 06098                ","TAMMY BATTISTONI              ","860-379-7561X326" 
"030","    ","    ","ROCKVILLE BANK                      ","PO BOX 660                      ","                                ","VERNON ROCKVILLE  CT 06066      ","BETTY FONTANEZ                ","860-291-3646    " 
"031","    ","    ","LIBERTY                             ","55 HIGH ST                      ","                                ","MIDDLETOWN CT 06457             ","DONNA HIGGINS                 ","860-638-2962    " 
"032","    ","    ","EASTERN CT SAVINGS BANK             ","ATTN: LOAN SERVICE              ","257 MAIN STREET                 ","NORWICH CT 06360                ","STEPHANIE WHITNET             ","860-889-7381    " 
"035","    ","    ","TORRINGTON SAVINGS BANK             ","129 MAIN STREET                 ","P.O. BOX 478                    ","TORRINGTON CT 06790             ","ALTHEA B HABERERN             ","860-4962152X3013" 
"037","    ","    ","WINDSOR FEDERAL SAVINGS             ","250 BROAD STREET                ","PO BOX 250                      ","WINDSOR CT 06095-9982           ","EDROSA RECATO                 ","860-6888511X2253" 
"040","101 ","    ","THOMASTON SAVINGS BANK              ","203 MAIN STREET                 ","P.O. BOX 907                    ","THOMASTON CT 06787-9989         ","CLAIRE L BRICKETT             ","860-283-3115X21 " 
"041","    ","    ","LITCHFIELD BANCORP                  ","294 WEST STREET                 ","PO BOX 997                      ","LITCHFIELD CT 06759-9984        ","MARY SWEENEY                  ","860-567-1591X309" 
"042","    ","    ","HARTFORD FCU                        ","964 ASYLUM AVENUE               ","                                ","HARTFORD, CT 06105              ","KEISHA PALMER                 ","860-527-6663X205" 
"043","    ","    ","SALISBURY BANK & TRUST CO           ","5 BISSELL STREET                ","PO BOX 1868                     ","LAKEVILLE CT 06039              ","NICOLE MINARA                 ","860-435-9801    " 
"047","    ","    ","CHFA                                ","999 WEST STREET                 ","PO BOX 4005                     ","ROCKY HILL, CT                  ","KELLY LONG                    ","18005339208X295 " 
"052","102 ","    ","MILFORD BANK THE                    ","SERVICING DEPARTMENT            ","33 BROAD STREET                 ","MILFORD CT 06460-9918           ","SHARON R MACKENZIE            ","203-783-5744    " 
"054","101 ","    ","NEWALLIANCE BANK                    ","LOAN SERVICING DEPARTMENT       ","195 CHURCH STREET               ","NEW HAVEN  CT  06510            ","LORI BURWELL                  ","860-789-2515    " 
"055","102 ","    ","VILLAGE MORTGAGE COMPANY            ","PARIS PARK, UNIT D              ","21 PROSPECT                     ","TORRINGTON CT 06790             ","                              ","860-482-7378    " 
"056","    ","    ","FAIRFIELD COUNTY BANK               ","150 DANBURY ROAD                ","PO BOX 2050                     ","RIDGEFIELD CT  06877            ","PAULINE FRANKEL               ","203-431-7474    " 
"057","101 ","    ","NORWICH COMMERCIAL GROUP            ","38 SECURITY DR                  ","                                ","AVON CT 06001                   ","MELISSA ROSARIO               ","860-606-0546    " 
"059","    ","    ","NEWTOWN SAVINGS BANK                ","39 MAIN STREET                  ","                                ","NEWTOWN  CT  064700497          ","ARLETTE WALKER                ","800-461-0672    " 
"060","    ","    ","DIME LOAN SERVICING CORP            ","290 SALEM TURNPIKE              ","PO BOX 70                       ","NORWICH CT 06360                ","HARRIET GRIFFITH              ","860-859-4300    " 
"061","    ","    ","SAVINGS BANK OF DANBURY             ","                                ","                                ","                                ","                              ","                " 
"062","    ","    ","APPLE VALLEY BANK & TRUST           ","286 MAPLE AVENUE                ","                                ","CHESHIRE CT 06410               ","SUE PELLETIER                 ","203-271-1268    " 
"063","    ","    ","PEOPLES BANK- BANK OF SUFFIELD      ","                                ","                                ","                                ","                              ","                " 
"064","    ","    ","DUTCH POINT CREDIT UNION INC        ","MORTGAGE SERVICING DPT          ","195 SILAS DEANE HIGHWAY         ","WETHERSFIELD CT 06109           ","DONNA BOUCHARD                ","8008421778 X208 " 
