"CODE","CDESC                         ","CFUND","CDEPT","COBJ " 
"    ","                              ","00","0000","00000" 
"02  ","SANITATION - LANDFILL         ","01","0340","43434" 
"03  ","POLICE & PROTECTIVE           ","01","0320","43212" 
"04  ","BLDS STRUCT. & EQUIP.         ","01","0320","43221" 
"05  ","HUNTING & FISHING             ","01","0320","43222" 
"06  ","ANIMAL LICENSES               ","01","0320","43223" 
"07  ","STREET & CURB                 ","01","0320","43224" 
"100 ","CANTON RESIDENT               ","05","0340","43442" 
"101 ","SIMSBURY RESIDENT D           ","05","0340","43442" 
"102 ","SIMSBURY NON-RESIDENT D       ","05","0340","43442" 
"105 ","MARSHAL FEES COLLECTED        ","01","0310","43115" 
"106 ","FARMINGTON PRINCIPAL          ","05","0310","43441" 
"107 ","SEWER INTEREST & LIENS        ","05","0360","43615" 
"108 ","FARMINGTON INTEREST           ","05","0360","43615" 
"109 ","FARMINGTON LIENS              ","05","0360","43615" 
"110 ","SIMSBURY PRINCIPAL            ","05","0340","43441" 
"111 ","SIMSBURY INTEREST             ","05","0340","43615" 
"112 ","SIMSBURY LIENS                ","05","0340","43615" 
"113 ","COUNTRY CLUB PRINCIPAL        ","05","0340","43441" 
"114 ","COUNTRY CLUB INTEREST         ","05","0310","43615" 
"115 ","COUNTRY CLUB LIENS            ","05","0310","43615" 
"121 ","DONATIONS & GRANTS-PRIVATE    ","09","0360","43651" 
"122 ","REIMBURSABLE-CASH/CHECK SENIO ","09","0340","43484" 
"123 ","PUBLIC WORKS TOWN AID         ","08","0330","43353" 
"124 ","FACILITY MAINTENANCE FEES     ","09","0340","43475" 
"125 ","RECR. REIMBURSABLES           ","09","0340","43473" 
"127 ","RECREATION ACTIVITIES FUND    ","09","0000","22400" 
"129 ","REVOLVING-REC PROGRAM ASSIST  ","09","0000","22433" 
"130 ","REVOLVING-SENIOR TRIP         ","01","0000","22434" 
"131 ","REVOLVING-AVON ANIMAL SHELTER ","25","0438","45140" 
"132 ","SPECIAL EDUCATION             ","13","0330","43343" 
"133 ","RENTS AND REIMBURSEMENTS      ","12","0360","43619" 
"134 ","CAFETERIA SERVICES            ","14","0340","43481" 
"136 ","LANDFILL - BULKY WASTE        ","01","0340","43435" 
"14  ","ADULT EDUCATION               ","01","0330","43340" 
"140 ","SANITATION-LANDFILL           ","01","0340","43433" 
"141 ","ADVANCE PERMITS               ","01","0000","23300" 
"145 ","ADVANCE TAXES                 ","01","0000","23250" 
"146 ","ADVANCED COLL: SEWER USE      ","05","0000","22200" 
"15  ","EQUALIZED COST SHARING        ","01","0330","43341" 
"16  ","TRANSPORTATION                ","01","0330","43342" 
"18  ","BUILDING CONSTRUCTION         ","01","0330","43344" 
"19  ","SEWER REF & REIM              ","05","0360","43612" 
"20  ","TEL GROSS RECEIPTS            ","01","0330","43352" 
"201 ","ORGANIZED SUMMER PROGRAMS     ","01","0340","43470" 
"202 ","SWIM FEES                     ","01","0340","43471" 
"203 ","RECREATION FEES               ","01","0340","43472" 
"204 ","RECR. REIMBURSABLES           ","09","0340","43473" 
"205 ","FIELD ADVERTISING PROGRAM REV ","09","0360","43664" 
"206 ","FACILITY MAINTENANCE FEES     ","09","0340","43475" 
"207 ","REVOLVING-REC PROGRAM ASSIST  ","09","0000","22433" 
"208 ","REVOLVING-CR CD SENIOR TRIP   ","01","0000","22434" 
"209 ","REIBURSABLES-CHARGES SENIOR C ","09","0340","43484" 
"210 ","FIELD ADVERTISING PROGRAM EXP ","09","5201","52216" 
"22  ","WELFARE                       ","01","0330","43357" 
"23  ","PUBLIC LIBRARY                ","01","0330","43358" 
"24  ","ELDERLY PROPERTY TAX RELIEF   ","01","0330","43359" 
"25  ","GRANTS IN LIEU OF TAXES       ","01","0330","43361" 
"26  ","VETERAN REIMBURSEMENT         ","01","0330","43362" 
"27  ","PILOT:MANUFACTURING           ","01","0330","43348" 
"28  ","PILOT: PEQUOT FUNDS           ","01","0330","43349" 
"29  ","PA 05-228 RECORDING FEES      ","01","0320","43414" 
"30  ","TOWN CLERK-MERS LAND FEE      ","22","0320","43415" 
"31  ","RECORDING & CONVEYANCE        ","01","0320","43411" 
"32  ","CONSERVATION AND DEVELOPMENT  ","01","0320","43412" 
"33  ","SALE OF MAPS & PUBLICATIONS   ","01","0320","43413" 
"34  ","POLICE SERVICES               ","01","0340","43421" 
"35  ","ACCIDENT REPORTS & PHOTOS     ","01","0340","43422" 
"36  ","ALARM SYSTEM                  ","01","0340","43423" 
"37  ","ANIMAL POUND FEES             ","01","0340","43424" 
"38  ","SALE OF MATERIALS             ","01","0340","43432" 
"39  ","VITAL STATISTICS              ","01","0340","43451" 
"40  ","ORGANIZED SUMMER PROGRAMS     ","01","0340","43470" 
"41  ","SWIMMING PROGRAMS             ","01","0340","43471" 
"42  ","RECREATION ACTIVITIES         ","01","0340","43472" 
"43  ","RECR. LEASES                  ","01","0340","43474" 
"44  ","CAPITAL NONRECURRINT EXPEND   ","03","0320","43221" 
"49  ","COURT                         ","01","0340","43501" 
"50  ","LIBRARY                       ","01","0340","43502" 
"54  ","INTEREST EARNINGS             ","01","0360","43611" 
"55  ","REFUNDS & REIMBURSEMENTS      ","01","0360","43612" 
"56  ","INTERLOCAL PROGRAM FUNDING    ","01","0360","43657" 
"61  ","SALVAGE & DEMOLITION SALES    ","01","0360","43910" 
"62  ","SALES OF GENERAL FIXED ASSETS ","01","0360","43911" 
"63  ","MISCELLANEOUS FUNDS           ","01","0360","43912" 
"64  ","UNDESIG. FUND BALANCE         ","01","0390","43913" 
"65  ","RENT-SPRINT CELL TOWER        ","01","0360","43619" 
"66  ","TRAIL EQUIPMENT               ","36","0437","45180" 
"67  ","REVOLVING-SPECIAL NEEDS       ","25","0438","45155" 
"68  ","REVOLVING-CHEER FUND          ","01","0000","22402" 
"69  ","REVOLVING-VEH. DAMAGE         ","26","0437","46170" 
"70  ","REVOLVING-FUEL BANK           ","01","0000","22404" 
"71  ","HARTFORD DISPENSARY TRUST     ","25","0438","45144" 
"72  ","REVOLVING- FUEL BANK SOC SVS  ","01","0000","22407" 
"73  ","SALES AND USE TAX             ","01","0000","22406" 
"74  ","BOE-REVOLVING A/C             ","01","0000","22463" 
"75  ","REVOLVING-TOWN CLERK          ","01","0000","22408" 
"77  ","ANIMAL CONTROL SURCHARGE      ","25","0438","45141" 
"78  ","MARRIAGE ABUSE SURCHARGE      ","01","0000","22410" 
"80  ","PA 92-235                     ","01","0000","22411" 
"81  ","BUILDING EDUCATION FEE        ","01","0000","22427" 
"82  ","REVOLV DOC PRES-STATE         ","01","0000","22430" 
"83  ","REVOLV DOC PRES-LOCAL         ","22","0330","43417" 
"84  ","REVOLV PA 05-228 STATE FEES   ","01","0000","22435" 
"85  ","REVOLV COUNTRYSIDE PARK DONA  ","25","0438","45148" 
"87  ","AVON DAY                      ","28","0437","46180" 
"88  ",""APCP-ADOPTION PROGRAM"       ","25","0438","45142" 
"89  ","REVOLVING-CANINE SPECIAL NEED ","01","0000","22421" 
"91  ","STATE GRANT                   ","04","0330","43347" 
"92  ","FOREST, PARK & OPEN SPACE MGT ","04","0390","43910" 
"93  ","MERS-GENERAL-REVOLVING ACCT   ","01","0000","22510" 
"94  ","MERS EXCEPTION-REVOLVING ACCT ","01","0000","22512" 
"95  ","SEWER-ENGINEERING             ","05","0320","43444" 
"96  ","FARMINGTON A                  ","05","0340","43442" 
"97  ","FARMINGTON B                  ","05","0340","43442" 
"98  ","FARMINGTON NON-RESIDENT       ","05","0340","43442" 
"99  ","SIMSBURY A                    ","05","0340","43442" 
"9999","END OF FILE                   ","00","0000","00000" 
