"YR  ","LIST ","DATE      ","TIME    ","TYPE","AMT1                            ","INT1                            ","AMT2                            ","INT2                            ","LIEN                            ","FEES                            ","DESC                    ","SEQ    ","CERT#  ","BATCH","AGROSS                        ","POSTED" 
"2005","18011","05-16-2007","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","18153","05-16-2007","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","18640","05-16-2007","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","18748","05-16-2007","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","19013","05-16-2007","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","19014","05-16-2007","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","19281","05-16-2007","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","19690","05-16-2007","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","19694","05-16-2007","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","19695","05-16-2007","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","20213","05-16-2007","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","20270","05-16-2007","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","20842","05-16-2007","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","20976","04-30-2008","        ","A ",                          -92.69,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"PRORATED FEB-VEHICLE SOL",   9999,  13224,"0000",                         -3730,"  " 
"2005","20976","05-14-2008","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","22029","05-14-2008","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","22029","06-30-2008","        ","A ",                         -118.53,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"PRORATED APR REGISTERED ",   9999,  13405,"0000",                         -4770,"  " 
"2005","22063","02-08-2007","        ","P ",                          168.58,                           66.50,                            0.00,                            0.00,                            0.00,                            6.00,"PARTIAL PAYMENT         ",   9999,      0,"0213",                             0,"  " 
"2005","22063","03-01-2007","        ","P ",                          340.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"PARTIAL PAYMENT         ",   9999,      0,"0227",                             0,"  " 
"2005","22063","05-13-2009","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","22114","05-14-2008","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","22420","05-16-2007","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","22421","05-16-2007","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","22422","05-16-2007","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","23201","05-14-2008","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","23202","05-14-2008","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","23222","05-16-2007","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","23246","05-16-2007","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","23603","05-16-2007","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","23624","05-16-2007","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","23720","05-16-2007","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","25058","05-14-2008","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","25059","05-14-2008","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","25424","05-14-2008","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","25660","05-16-2007","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","26325","05-16-2007","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","26498","05-14-2008","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
"2005","26604","05-16-2007","        ","S ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"SUSPENDED               ",   9999,      0,"0000",                             0,"  " 
