"CODE","DESC                          ","AMT                           ","EX_DESC " 
"    ","                              ",                              ,"        " 
"AAA ","SEC 12-81(19)                 ",                          1000,"Veteran " 
"ABA ","SEC 12-81(20) 10% - 25%       ",                          2000,"Veteran " 
"ACA ","SEC 12-81(20) 26% - 50%       ",                          2500,"Veteran " 
"ADA ","SEC12-81(20) 51-75%           ",                          3000,"Veteran " 
"ADJ ","ASSESSOR'S PRORATED ADJUSTMENT",                              ,"Prorate " 
"AEA ","SEC 12-81(20) 76% - 100%      ",                          3500,"Veteran " 
"AFA ","SEC 12-81(20) OVER 65 YRS.    ",                          3500,"Veteran " 
"AGA ","SEC 12-81 (21a)               ",                         10000,"Veteran " 
"AHA ","                              ",                          5000,"Veteran " 
"AIA ","12-81 (22)                    ",                          1000,"Veteran " 
"AJA ","12-81 (22)                    ",                          3000,"Veteran " 
"AKA ","SEC 12-81 (23)                ",                          1000,"Veteran " 
"ALA ","SEC 12-81 (24)                ",                          3000,"Veteran " 
"AMA ","SEC 12-81 (25)                ",                          1000,"Veteran " 
"ANA ","SEC 12-81 (26)                ",                          1000,"Veteran " 
"AOA ","SEC 12-81 (53)                ",                              ,"Veteran " 
"BAD ","SEC 12-81(19)                 ",                          2000,"Add Vet " 
"BBD ","12-81 (20) 10%-25%            ",                          4000,"Add Vet " 
"BCD ","SEC 12-81 (20) 26%-50%        ",                          5000,"Add Vet " 
"BCE ","REIMB BY ST.SINGLE26-50%      ",                          5000,"Add Vet " 
"BDD ","SEC 12-81 (20) 51%-75%        ",                          6000,"Add Vet " 
"BDE ","REIMB BY ST.SINGLE 51-75%     ",                          6000,"Add Vet " 
"BED ","SEC 12-81 76%-100%            ",                          7000,"Add Vet " 
"BEE ","REIMB BY STATE SINGLE         ",                          7000,"Add Vet " 
"BEF ","REIMB BY STATE MARRIED 100% DI",                          7000,"Add Vet " 
"BEG ","REIMB. BY STATE 100% DIS SINGL",                          7000,"Add Vet " 
"BFD ","OVER 65 YRS.                  ",                          7000,"Add Vet " 
"BFE ","OVER 65 REIMB BY STATE SINGLE ",                          7000,"Add Vet " 
"BFG ","REIMB.BY STATE OVER 65 YRS    ",                          7000,"Add Vet " 
"BGD ","SEC 12-81 (21a)               ",                         20000,"Add Vet " 
"BHD ","                              ",                         10000,"Add Vet " 
"BID ","SEC 12-81 (22)                ",                          2000,"Add Vet " 
"BJD ","                              ",                          6000,"Add Vet " 
"BKD ","SEC 12-81 (23)                ",                          2000,"Add Vet " 
"BKE ","REIMB.BY STATE (23) SINGLE    ",                          2000,"Add Vet " 
"BLD ","SEC 12-81 (24)                ",                          6000,"Add Vet " 
"BMD ","SEC 12-81 (25)                ",                          2000,"Add Vet " 
"BND ","SEC 12-81 (26)                ",                          2000,"Add Vet " 
"CAB ","SEC 12-81(19)                 ",                           500,"Add Vet " 
"CBB ","SEC 12-81 (19) 10% - 25%      ",                          1000,"Add Vet " 
"CCB ","SEC 12-81(20) 26-50%          ",                          1250,"Add Vet " 
"CDB ","SEC 12-81 (20) 51%-75%        ",                          1500,"Add Vet " 
"CEB ","SEC 12-81 (20) 76%-100%       ",                          1750,"Add Vet " 
"CFB ","SEC 12-81 (20) OVER 65 YRS.   ",                          1750,"Add Vet " 
"CGB ","SEC 12-81 (21a)               ",                          5000,"Add Vet " 
"CHB ","SEC 12-81 (21a)               ",                          2500,"Add Vet " 
"CIB ","SEC 12-81 (22)                ",                           500,"Add Vet " 
"CJB ","SEC 12-81 (22)                ",                          1500,"Add Vet " 
"CKB ","SEC 12-81 (23)                ",                           500,"Add Vet " 
"CLB ","SEC 12-81 (24)                ",                          1500,"Add Vet " 
"CMB ","SSEC 12-81 (25)               ",                           500,"Add Vet " 
"CNB ","SEC 12-81 (26)                ",                           500,"Add Vet " 
"DAC ","SEC 12-81 (19)                ",                         10000,"Veteran " 
"DBC ","SEC 12-81 (21c) RES.DWG&LOT   ",                              ,"Veteran " 
"DCC ","P.A. 85-432 SPEC. EQ.VEHICLES ",                              ,"Veteran " 
"EAB ","SEC 12-81(55)                 ",                          1000,"Disabled" 
"EBC ","SSEC 12-81i LOCAL OPTION      ",                          1000,"Disabled" 
"ECC ","SEC-81c AMBULANCE TYPE        ",                              ,"Disabled" 
"FAA ","SEC 12-81(17)                 ",                          3000,"Blind   " 
"FBC ","SEC 12-81j LOCAL OPTION       ",                          2000,"Blind   " 
"IAA ","SEC 12-81(41) CATTLE          ",                          1000,"Farm    " 
"IBA ","OXEN                          ",                          2000,"Farm    " 
"ICA ","SEC 12-81 (40)                ",                           500,"Farm    " 
"IDA ","SEC 12-81 (42)                ",                            25,"Farm    " 
"IEA ","SEC 12-91                     ",                        100000,"Farm    " 
"IFA ","SEC 12-81 (38)                ",                           500,"Farm    " 
"JAA ","12-81(37)                     ",                           500,"Mechanic" 
"KAA ","SEC 12-81 (9)                 ",                              ,"Ed. loan" 
"KBA ","SEC 112-81 (58) LOCAL OPTION  ",                              ,"Ed. loan" 
"KDP ","Municipal Lease Prop 12-81(4) ",                              ,"        " 
"KEP ","PP less than 250 12-81(79)    ",                              ,"        " 
"LDV ","lOCAL DISABLED VET            ",                              ,"LDisVet " 
"LMA ","LOCAL MINIMUM ASSESSMENT      ",                              ,"        " 
"LSS ","SEC 12-81(9) SOLDIER          ",                              ,"Soldier " 
"LVF ","PA 00-120 VOLFIRE             ",                              ,"Volfire " 
