"MYR ","RATE                              ","MVRATE                            ","1STDUE    ","2NDDUE    " 
"1990",                           18.0000,                            0.0000,"07-01-1991","01-01-1992" 
"1991",                           18.2000,                            0.0000,"07-01-1992","01-01-1993" 
"1992",                           18.8500,                            0.0000,"07-01-1993","01-01-1994" 
"1993",                           19.6000,                            0.0000,"07-01-1994","01-01-1995" 
"1994",                           20.2500,                            0.0000,"07-01-1995","01-01-1996" 
"1995",                           20.8500,                            0.0000,"07-01-1996","01-01-1997" 
"1996",                           21.4500,                            0.0000,"07-01-1997","01-01-1998" 
"1997",                           22.0000,                            0.0000,"07-01-1998","01-01-1999" 
"1998",                           22.4200,                            0.0000,"07-01-1999","01-01-2000" 
"1999",                           24.5000,                            0.0000,"07-01-2000","01-01-2001" 
"2000",                           25.9000,                            0.0000,"07-01-2001","01-01-2002" 
"2001",                           27.3000,                            0.0000,"07-01-2002","01-01-2003" 
"2002",                           28.3000,                            0.0000,"07-01-2003","01-01-2004" 
"2003",                           23.4600,                            0.0000,"07-15-2004","01-01-2005" 
"2004",                           24.1600,                            0.0000,"07-01-2005","01-01-2006" 
"2005",                           24.8500,                            0.0000,"07-01-2006","01-01-2007" 
"2006",                           25.5500,                            0.0000,"07-01-2007","01-01-2008" 
"2007",                           26.5300,                            0.0000,"07-15-2008","01-01-2009" 
"2008",                           23.4100,                            0.0000,"07-01-2009","01-01-2010" 
"2009",                           24.4400,                            0.0000,"07-01-2010","01-01-2011" 
"2010",                           25.0400,                            0.0000,"07-01-2011","01-01-2012" 
"2011",                           25.6500,                            0.0000,"07-01-2012","01-01-2013" 
"2012",                           26.3200,                            0.0000,"07-01-2013","01-01-2014" 
"2013",                           28.3200,                            0.0000,"07-01-2014","01-01-2015" 
"2014",                           28.8000,                            0.0000,"07-01-2015","01-01-2016" 
"2015",                           29.5200,                            0.0000,"07-01-2016","01-01-2017" 
"2016",                           30.5900,                            0.0000,"07-01-2017","01-01-2018" 
"2017",                           31.3500,                            0.0000,"07-01-2018","01-01-2019" 
"2018",                           32.9000,                            0.0000,"07-01-2019","01-01-2020" 
"2019",                           32.9000,                            0.0000,"07-01-2020","01-01-2021" 
"2020",                           34.2100,                           34.2100,"07-01-2021","01-01-2022" 
"2021",                           34.6100,                           32.4600,"07-01-2022","01-01-2023" 
"9999",                            0.0000,                            0.0000,"          ","          " 
