"CODE","SDESC     ","LDESC                                   ","1PER                            ","2PER                            ","3PER                            ","4PER                            ","5PER                            ","6PER                            ","7PER                            ","8PER                            " 
"09  ","MV        ","NON-REGISTERED MOTOR VEHICLES           ",                           95.00,                           90.00,                           80.00,                           70.00,                           60.00,                           50.00,                           40.00,                           30.00 
"10  ","IND M & E ","INDUSTRIAL MACHINERY & EQUIPMENT        ",                           95.00,                           90.00,                           80.00,                           70.00,                           60.00,                           50.00,                           40.00,                           30.00 
"11  ","HORSES    ","HORSES,PONIES,THOROUGHBREDS             ",                           95.00,                           90.00,                           80.00,                           70.00,                           60.00,                           50.00,                           40.00,                           30.00 
"12  ","FISHING   ","COMMERCIAL FISHING APPARATUS            ",                           95.00,                           90.00,                           80.00,                           70.00,                           60.00,                           50.00,                           40.00,                           30.00 
"13  ","MM&E      ","MFG MACHINERY & EQUIPMENT               ",                           95.00,                           90.00,                           80.00,                           70.00,                           60.00,                           50.00,                           40.00,                           30.00 
"14  ","MOBILE HOM","MOBILE MANUFACTURED HOMES               ",                           95.00,                           90.00,                           80.00,                           70.00,                           60.00,                           50.00,                           40.00,                           30.00 
"15  ","OLDER MM&E","MFG MACHINERY & EQUIPMENT (OLDER)       ",                           95.00,                           90.00,                           80.00,                           70.00,                           60.00,                           50.00,                           40.00,                           30.00 
"16  ","FF&E      ","FURNITURE FIXTURES & EQUIPMENT          ",                           95.00,                           90.00,                           80.00,                           70.00,                           60.00,                           50.00,                           40.00,                           30.00 
"17  ","F-MACH    ","FARM MACHINERY                          ",                           95.00,                           90.00,                           80.00,                           70.00,                           60.00,                           50.00,                           40.00,                           30.00 
"18  ","F_TOOLS   ","FARM TOTALS                             ",                           95.00,                           90.00,                           80.00,                           70.00,                           60.00,                           50.00,                           40.00,                           30.00 
"19  ","M_TOOLS   ","MECHANICS TOOLS                         ",                           95.00,                           90.00,                           80.00,                           70.00,                           60.00,                           50.00,                           40.00,                           30.00 
"20  ","EDP       ","ELECTRONIC DATA PROCESSING EQUIPMENT    ",                           90.00,                           70.00,                           55.00,                           40.00,                           30.00,                           30.00,                           30.00,                           30.00 
"21  ","TELECOMM  ","TELECOMMUNICATIONS EQUIPMENT            ",                           90.00,                           70.00,                           55.00,                           40.00,                           30.00,                           30.00,                           30.00,                           30.00 
"21a ","TELECOMM  ","TELECOMMUNICATIONS EQUIP NOT TECH ADV   ",                           95.00,                           90.00,                           80.00,                           70.00,                           60.00,                           50.00,                           40.00,                           30.00 
"21b ","TELCOM ADV","TELECOMMUNICATIONS EQUIP TECH ADV       ",                           90.00,                           70.00,                           55.00,                           40.00,                           30.00,                           30.00,                           30.00,                           30.00 
"22  ","CABLES    ","CABLES,CONDUITS,PIPES,POLES,TOWERS,ETC  ",                           95.00,                           90.00,                           80.00,                           70.00,                           60.00,                           50.00,                           40.00,                           30.00 
"23  ","SUPPLIES  ","MONTHLY AVERAGE QUANTITY OF SUPPLIES    ",                           95.00,                           90.00,                           80.00,                           70.00,                           60.00,                           50.00,                           40.00,                           30.00 
"24  ","ALL OTHER ","ALL OTHER TAXABLE GOODS AND LEASEHOLD   ",                           95.00,                           90.00,                           80.00,                           70.00,                           60.00,                           50.00,                           40.00,                           30.00 
"XXXX","LAST REC  ","END OF FILE MARKER - DO NOT DELETE      ",                                ,                                ,                                ,                                ,                                ,                                ,                                ,                                 
