Service Address,Acct ID,Address Number,#,Street Name,Town,Town Code,Co ,Read Cycle,Bill Cycle,Meter Route,D C,Deduct SAID,Deduct 2,Deduct 3,Deduct 4,Deduct 5,Deduct 6,Deduct 7,Deduct 8,Deduct 9,Deduct 10,Deduct 11,Deduct 12
676452,333620,Avon Town Center LLC,38,West Main St  - Primary Mtr,Avon,AVONA,00035,06135,6135,A010,1,670525,,,,,,,,,,,
676487,333622,Avon Congregational Church,6,West Main St - Primary Mtr,Avon Avon Water,AVONA,00035,06135,6135,A010,1,670509,,,,,,,,,,,
679521,334352,255 West Main LLC,255,West Main St-Primary Mtr,Avon,AVONA,00035,06135,6135,A010,1,670554,670555,670556,,,,,,,,,
689398,336642,Town of Avon - Bld 1,60,West Main St Bldg1 - Primary M,Avon,AVONA,00035,06135,6135,A010,1,687289,,,,,,,,,,,
676477,360310,Avon Central LLC,43,West Main St - Primary,Avon,AVONA,00035,06135,6135,A010,1,670530,,,,,,,,,,,
679363,360465,Simsbury Commons,530,Bushy Hill Rd- Primary Mtr,Simsbury,SMSBY,00035,06135,6135,A015,1,670661,670662,670665,670668,670666,670667,670676,670673,670672,670671,670670,670669
676494,333623,Blue Fox Run - Maint Barn,65,Nod Rd -Primary Mtr,Avon Avon Water,AVONA,00035,06135,6135,A020,1,670781,,,,,,,,,,,
676500,333624,Carmon & Company LLC,301,Country Club Rd - Primary Mtr,Avon Avon Water,AVONA,00035,03535,3535,A100,1,672003,,,,,,,,,,,
675182,333146,ENE Realty Assoc,30,Tower Lane The Office Green #3,Avon,AVONA,00035,08035,8035,A300,1,835026,,,,,,,,,,,
676198,333550,"HTA-80 Fisher, LLC #150416",80,Fischer Dr - Primary Mtr,Avon Avon Water,AVONA,00035,08035,8035,A300,1,675162,,,,,,,,,,,
676203,333551,Farmington Academy Inc,150,Fisher Dr - Primary Mtr,Avon Avon Water,AVONA,00035,08035,8035,A300,1,675168,,,,,,,,,,,
676210,333552,Petroleum Meter Pump,25,Security Dr - Primary Mtr,Avon Avon Water,AVONA,00035,08035,8035,A300,1,675194,,,,,,,,,,,
676217,333553,Orafol Americas Inc.,120,Darling Dr - Primary,Avon Avon Water,AVONA,00035,08035,8035,A300,1,675223,,,,,,,,,,,
676222,333554,Norwich Commercial Group Inc,38,Security Dr - Primary Mtr,Avon Avon Water,AVONA,00035,08035,8035,A300,1,675196,,,,,,,,,,,
676227,333555,Connemara Court LLC,45,Nod Rd - Primary Mtr,Avon,AVONA,00035,08035,8035,A300,1,675060,,,,,,,,,,,
676236,333556,The Residence At Brookside,117,Simsbury Rd - primary Mtr,Avon Avon Water,AVONA,00035,08035,8035,A300,1,675129,,,,,,,,,,,
676420,333601,Fairway Shops,70,East Main St- Primary Mtr,Avon,AVONA,00035,08035,8035,A300,1,675051,675052,675053,,,,,,,,,
676432,333606,"OFS Fitel, LLC",55,Darling Dr- Primary Mtr,Avon,AVONA,00035,08035,8035,A300,1,675201,675202,,,,,,,,,,
676758,333688,First & Last Tavern,24,West Main St - Primary Mtr,Avon Avon Water,AVONA,00035,08035,8035,A300,1,675034,,,,,,,,,,,
676764,333689,River Park,51,East Main St - Primary,Avon Avon Water,AVONA,00035,08035,8035,A300,1,675048,,,,,,,,,,,
676771,333690,Magellan Building,55,Nod Rd - Primary Mtr,Avon Avon Water,AVONA,00035,08035,8035,A300,1,675063,,,,,,,,,,,
676890,333748,Avon Old Farms Hotel,279,Avon Mountain Rd - Primary Mtr,Avon Avon Water,AVONA,00035,08035,8035,A300,1,675066,,,,,,,,,,,
676914,333754,Brighenti Family Wellness,100,Simsbury Rd - Primary Mtr,Avon Avon Water,AVONA,00035,08035,8035,A300,1,675126,,,,,,,,,,,
676922,333757,Peachtree Village Bld 1,60,Darling Dr - Primary,Avon Avon Water,AVONA,00035,08035,8035,A300,1,675210,,,,,,,,,,,
676932,333759,Peachtree Village Bld 3,60,Darling Dr - Primary Mtr,Avon Avon Water,AVONA,00035,08035,8035,A300,1,675211,,,,,,,,,,,
676938,333761,Peachtree Village Bld 5,60,Darling Dr - Primary Mtr,Avon Avon Water,AVONA,00035,08035,8035,A300,1,675212,,,,,,,,,,,
