PARCEL_ID,STREET,Current_Connection,COMACT,Wtr_Supp,,,,,,Oct_Cost_Num,April_Cost,Calc_Tot_Ann_Cost,Tot_Ann_Cost_num
3870007,SCHOOL STREET,TOASewer,RES,WELL,,,,,, $257.50 , $257.50 , $515.00 , $515.00 
5820020,ARBOR ROAD,TOASewer,RES,WELL,,,,,, $257.50 , $257.50 , $515.00 , $515.00 
1200014,AVONSIDE,TOASewer,RES,WELL,,,,,, $257.50 , $257.50 , $515.00 , $515.00 
1200023,AVONSIDE,TOASewer,RES,WELL,,,,,, $257.50 , $257.50 , $515.00 , $515.00 
1200024,AVONSIDE,TOASewer,RES,WELL,,,,,, $257.50 , $257.50 , $515.00 , $515.00 
1200025,AVONSIDE,TOASewer,RES,WELL,,,,,, $257.50 , $257.50 , $515.00 , $515.00 
1320009,BIRCH ROAD,TOASewer,RES,WELL,,,,,, $257.50 , $257.50 , $515.00 , $515.00 
1320015,BIRCH ROAD,TOASewer,RES,WELL,,,,,, $257.50 , $257.50 , $515.00 , $515.00 
1320019,BIRCH ROAD,TOASewer,RES,WELL,,,,,, $257.50 , $257.50 , $515.00 , $515.00 
1320024,BIRCH ROAD,TOASewer,RES,WELL,,,,,, $257.50 , $257.50 , $515.00 , $515.00 
1320025,BIRCH ROAD,TOASewer,RES,WELL,,,,,, $257.50 , $257.50 , $515.00 , $515.00 
1360019,BLUEBERRY LANE,TOASewer,RES,WELL,,,,,, $257.50 , $257.50 , $515.00 , $515.00 
1360027,BLUEBERRY LANE,TOASewer,RES,WELL,,,,,, $257.50 , $257.50 , $515.00 , $515.00 
1360028,BLUEBERRY LANE,TOASewer,RES,WELL,,,,,, $257.50 , $257.50 , $515.00 , $515.00 
1360034,BLUEBERRY LANE,TOASewer,RES,WELL,,,,,, $257.50 , $257.50 , $515.00 , $515.00 
1410021,BREEZY KNOLL,TOASewer,RES,WELL,,,,,, $257.50 , $257.50 , $515.00 , $515.00 
1410030,BREEZY KNOLL,TOASewer,RES,WELL,,,,,, $257.50 , $257.50 , $515.00 , $515.00 
1410042,BREEZY KNOLL,TOASewer,RES,WELL,,,,,, $257.50 , $257.50 , $515.00 , $515.00 
1410056,BREEZY KNOLL,TOASewer,RES,WELL,,,,,, $257.50 , $257.50 , $515.00 , $515.00 
1770028,CHEVAS ROAD,TOASewer,RES,WELL,,,,,, $257.50 , $257.50 , $515.00 , $515.00 
1770094,CHEVAS ROAD,TOASewer,RES,WELL,,,,,, $257.50 , $257.50 , $515.00 , $515.00 
1770100,CHEVAS ROAD,TOASewer,RES,WELL,,,,,, $257.50 , $257.50 , $515.00 , $515.00 
1770106,CHEVAS ROAD,TOASewer,RES,WELL,,,,,, $257.50 , $257.50 , $515.00 , $515.00 
