PARCELID,SHED,EDU,Bill
1090011,SIMS,4.16,2496
1090021,SIMS,1,600
1140025,SIMS,1,600
1140027,SIMS,1.18,708
1160030,SIMS,1.39,834
1160060,SIMS,1,600
1160100,SIMS,1,600
1161010,SIMS,1.97,1182
1161040,SIMS,1,600
1161050,SIMS,1,600
1162020,SIMS,1,600
1162070,SIMS,1,600
1162090,SIMS,1,600
1170279,SIMS,44.23,26538
1170280,SIMS,7.65,4590
1240004,SIMS,3.21,1926
1300101,SIMS,58.77,35262
1610150,FARM,14.55,8730
1610200,FARM,14.07,8442
1780003,SIMS,5.22,3132
1830005,SIMS,1,600
1830050,SIMS,38.5,23100
1940160,SIMS,19.1,11460
1940301,SIMS,7.47,4482
2020022,SIMS,1,600
2020027,SIMS,2.81,1686
2020034,SIMS,5.24,3144
2020040,SIMS,4.74,2844
2020044,SIMS,9.21,5526
2030055,SIMS,14.23,8538
2030060,SIMS,1,600
2030080,SIMS,10.19,6114
2030105,SIMS,2.1,1260
2030120,SIMS,37.68,22608
2030135,SIMS,1,600
2140001,SIMS,16.69,10014
2140010,SIMS,1,600
2140020,SIMS,1,600
2140022,SIMS,1,600
2140024,SIMS,1,600
2140028,SIMS,1,600
2140030,SIMS,1.04,624
2140032,SIMS,3.46,2076
2140033,SIMS,15.28,9168
2140034,SIMS,1,600
2140036,SIMS,1.82,1092
2140051,SIMS,8.7,5220
2140056,SIMS,32.07,19242
2140080,SIMS,3.26,1956
2140085,SIMS,4.21,2526
2200015,SIMS,1.12,672
2210016,SIMS,7.18,4308
2210021,SIMS,4.9,2940
2280080,SIMS,1.5,900
2280100,SIMS,38.91,23346
2280150,SIMS,2.91,1746
2280200,SIMS,3.62,2172
2810335,SIMS,1,600
2810365,SIMS,1,600
2840001,SIMS,2.11,1266
3290027,SIMS,11.35,6810
3290065,SIMS,1.92,1152
3360151,SIMS,10.65,6390
3360154,SIMS,2.04,1224
3360174,SIMS,1,600
3360190,SIMS,1,600
3360205,SIMS,2.86,1716
3360500,SIMS,120.53,72318
3410030,SIMS,1,600
3820018,SIMS,1,600
3890106,SIMS,1,600
3900020,SIMS,8.09,4854
3900025,SIMS,4.89,2934
3900038,SIMS,1,600
3900060,SIMS,4.16,2496
3970002,SIMS,1,600
3970034,SIMS,2.14,1284
3970055,SIMS,33.65,20190
3970100,SIMS,32.55,19530
3970101,SIMS,3.69,2214
3970117,SIMS,22.87,13722
3970124,SIMS,43.99,26394
3970139,SIMS,1,600
3970145,SIMS,1,600
3970147,SIMS,1,600
3971111,SIMS,3.06,1836
4320150,SIMS,8.35,5010
4370010,SIMS,2.18,1308
4370020,SIMS,2.52,1512
4370030,SIMS,1.31,786
4370040,SIMS,2.57,1542
4370050,SIMS,1.59,954
4380007,SIMS,1,600
4500009,SIMS,1.14,684
4500021,SIMS,1.3,780
4500022,SIMS,1.77,1062
4500029,SIMS,1.4,840
4500035,SIMS,1,600
4500040,SIMS,2,1200
4500059,SIMS,7.45,4470
4520012,SIMS,1.11,666
4520015,SIMS,16.14,9684
4520018,SIMS,1.51,906
4520020,SIMS,3.43,2058
4520046,SIMS,1,600
4520054,SIMS,14.47,8682
4520395,SIMS,1.52,912
4520427,SIMS,2.97,1782
4520490,SIMS,1,600
4520510,SIMS,9.27,5562
4520590,SIMS,2.05,1230
4520652,SIMS,43.65,26190
4540005,SIMS,2.07,1242
4540006,SIMS,1,600
4540011,SIMS,1,600
4540012,SIMS,1.35,810
4540014,SIMS,1,600
4540016,SIMS,1,600
4540017,SIMS,1,600
4540020,SIMS,3.44,2064
4540021,SIMS,1,600
4540026,SIMS,18.68,11208
4540029,SIMS,2.27,1362
4540037,SIMS,1.01,606
4540043,SIMS,3.86,2316
4540045,SIMS,1.85,1110
4540047,SIMS,1,600
4540049,SIMS,1,600
4540060,SIMS,4.79,2874
4540112,SIMS,1,600
4540166,SIMS,1,600
4540172,SIMS,1,600
4540177,SIMS,1,600
4540183,SIMS,1,600
4540192,SIMS,18.31,10986
4540195,SIMS,4.01,2406
4540200,SIMS,3.85,2310
4540205,SIMS,5.25,3150
4540209,SIMS,1.05,630
4540210,SIMS,7.59,4554
4540213,SIMS,1,600
4540214,SIMS,1,600
4540220,SIMS,1.31,786
4540221,SIMS,1,600
4540224,SIMS,1,600
4540225,SIMS,1,600
4540232,SIMS,1,600
4540240,SIMS,1,600
4540248,SIMS,1,600
4540255,SIMS,27.71,16626
4540260,SIMS,2.29,1374
4540265,SIMS,106.99,64194
4540279,SIMS,1,600
4540282,SIMS,1,600
4540290,SIMS,3.9,2340
4540300,SIMS,4.48,2688
4540302,SIMS,2.75,1650
4540304,SIMS,1,600
4540310,SIMS,1.55,930
4540315,SIMS,16.56,9936
4540320,SIMS,7.23,4338
4540328,SIMS,1,600
4540332,SIMS,1,600
4540336,SIMS,17.73,10638
4540339,SIMS,4.89,2934
4540347,SIMS,5.98,3588
4540353,SIMS,1,600
4540358,SIMS,1,600
4540369,SIMS,17.73,10638
4540380,SIMS,17.33,10398
4540385,SIMS,14.63,8778
4540392,SIMS,1,600
4540395,SIMS,3.22,1932
4540401,SIMS,18.21,10926
4540411,SIMS,1.2,720
5980030,FARM,1,600
