"CO","ASSM_DESC       ","A_TYPE","_BLDG","CONDOCODE","_CONDO","APTCODE","_APT","_OUT" 
"  ","Default         ","L ","13","16","15","11","13","14" 
"11","Resident Land   ","L ","13","16","15","11","13","14" 
"12","Resident Excess ","L ","13","16","15","11","13","14" 
"13","Resident Dwellng","D ","  ","  ","  ","  ","  ","  " 
"14","Resident Outbldg","O ","  ","  ","  ","  ","  ","  " 
"15","Resident Condo  ","D ","13","16","15","11","13","14" 
"16","Resident Mobile ","D ","  ","  ","  ","  ","  ","  " 
"17","Resid. Rec Condo","D ","  ","  ","  ","  ","  ","  " 
"18","Resident Mixed  ","D ","  ","  ","  ","  ","  ","  " 
"21","Commerc Land    ","L ","22","55","24","11","23","25" 
"22","Commerc Building","C ","  ","  ","  ","  ","  ","  " 
"23","Commerc Apartmt ","C ","  ","  ","  ","  ","  ","  " 
"24","Commerc Condo   ","C ","  ","  ","  ","  ","  ","  " 
"25","Commerc Outbldg ","O ","  ","  ","  ","  ","  ","  " 
"26","Commerc Apt Land","L ","22","55","24","11","23","25" 
"27","Penalty         ","  ","  ","  ","  ","  ","  ","  " 
"31","Indust Land     ","L ","32","55","34","11","32","33" 
"32","Indust Building ","C ","  ","  ","  ","  ","  ","  " 
"33","Indust Improvmts","O ","  ","  ","  ","  ","  ","  " 
"34","Indust Condo    ","C ","  ","  ","  ","  ","  ","  " 
"41","Pub Util Land   ","L ","42","  ","42","  ","42","43" 
"42","Pub Util Build  ","U ","  ","  ","  ","  ","  ","  " 
"43","Pub Util Outblg ","O ","  ","  ","  ","  ","  ","  " 
"51","Vacant Resident ","L ","  ","  ","  ","  ","  ","55" 
"52","Vacant Commerc  ","L ","  ","  ","  ","  ","  ","55" 
"53","Vacant Indust   ","L ","  ","  ","  ","  ","  ","55" 
"54","Vacant Wetlands ","L ","  ","  ","  ","  ","  ","55" 
"55","Vacant Outbldg  ","O ","  ","  ","  ","  ","  ","55" 
"61","Use Assmt Farm  ","L ","  ","  ","  ","  ","  ","64" 
"62","Use Assmt Forest","L ","  ","  ","  ","  ","  ","64" 
"63","Use Assmt Open  ","L ","  ","  ","  ","  ","  ","64" 
"64","Use Assmt Outbld","L ","  ","  ","  ","  ","  ","64" 
"65","Use Assmt Water ","L ","  ","  ","  ","  ","  ","64" 
"71","10 Mill Land    ","L ","  ","  ","  ","  ","  ","  " 
"81","25% Penalty     ","X ","  ","  ","  ","  ","  ","  " 
