"PROP   ","CARD#","_ACODE","_BCODE","_CCODE","_DCODE","_ECODE","_FCODE","_GCODE","_HCODE","_ICODE","_JCODE","_KCODE","_LCODE","_MCODE","_NCODE","_OCODE","_PCODE","_QCODE","_RCODE","PRISH                          ","BLDYR","RMDYR","EFYRBLD","CONSTR","B1PER                           ","B1USE","B2PER                           ","B2USE","F1PER                           ","F1USE","F2PER                           ","F2USE","S1PER                           ","S1USE","S2PER                           ","S2USE","T1PER                           ","T1USE","T2PER                           ","T2USE","U1PER                           ","U1USE","U2PER                           ","U2USE","B1PRADJ                         ","B2PRADJ                         ","F1PRADJ                         ","F2PRADJ                         ","S1PRADJ                         ","S2PRADJ                         ","T1PRADJ                         ","T2PRADJ                         ","U1PRADJ                         ","U2PRADJ                         ","B1VALUE                       ","B2VALUE                       ","F1VALUE                       ","F2VALUE                       ","S1VALUE                       ","S2VALUE                       ","T1VALUE                       ","T2VALUE                       ","U1VALUE                       ","U2VALUE                       ","1OCODE","1OSIZE                        ","1OQTY                         ","1OVAL                         ","2OCODE","2OSIZE                        ","2OQTY                         ","2OVAL                         ","3OCODE","3OSIZE                        ","3OQTY                         ","3OVAL                         ","4OCODE","4OSIZE                        ","4OQTY                         ","4OVAL                         ","5OCODE","5OSIZE                        ","5OQTY                         ","5OVAL                         ","MAIN_AREA                     ","AT_AREA                       ","MAIN_VALUE                    ","BSMT_VALUE                    ","HEAT_VALUE                    ","PLUMB_VALUE                   ","AT_VALUE                      ","T_OTHER_VALUE                 ","C_D_FACTOR                      ","CDU","DEPREC                        ","LIV_VALUE                     ","CAR_VALUE                     ","BEDRM_VALUE                   ","BATH_VALUE                    ","GRADE_VALUE                   ","LAND_VALUE                    ","POOL_VALUE                    ","TENNIS_VALUE                  ","SHED_VALUE                    ","MADJ_VALUE                    ","MREASON                               ","CONDO_STYLE","TSEQ                          ","DLC        " 
"       ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ","  ",                               ,"    ","    ","    "," ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,                                ,                                ,                                ,                                ,                                ,                                ,                                ,                                ,                                ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                            1.00,"  ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          5945,"11-Sep-2020" 
"1090011","01","47","02","05","05","01","05","01","  ","  ","02","37","  ","02","  ","  ","04","04","  ",                               ,"1976","    ","    "," ",                            9.00,"86",                                ,"  ",                           20.00,"82",                           80.00,"47",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                           33.23,                                ,                          131.69,                           78.88,                                ,                                ,                                ,                                ,                                ,                                ,                         51170,                              ,                        450640,                       1079870,                              ,                              ,                              ,                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                         17112,                              ,                       1295400,                        906780,                              ,                              ,                              ,                              ,                            1.00,"  ",                            30,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          5947,"11-Sep-2020" 
"1090021","01","55","01","01","01","01","02","02","02","02","01","30","  ","04","  ","01","06","06","  ",                               ,"2002","    ","    "," ",                                ,"  ",                                ,"  ",                          100.00,"55",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,                                ,                          100.00,                                ,                                ,                                ,                                ,                                ,                                ,                                ,                              ,                              ,                        248900,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                          2489,                              ,                        248900,                        174230,                              ,                              ,                              ,                              ,                            1.00,"  ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          6590,"30-Aug-2023" 
"1090280","01","96","10","06","01","01","98","01","  ","  ","01","43","  ","  ","  ","  ","05","05","  ",                               ,"1995","    ","    "," ",                                ,"  ",                                ,"  ",                          100.00,"96",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,                                ,                          151.88,                                ,                                ,                                ,                                ,                                ,                                ,                                ,                              ,                              ,                       1522450,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                         10024,                              ,                       1747010,                       1222910,                              ,                              ,                              ,                              ,                            1.00,"  ",                            15,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          6755,"04-Sep-2024" 
"1090280","02","53","01","01","01","01","02","05","01","01","01","43","  ","02","01","01","06","06","  ",                               ,"2002","    ","    "," ",                           50.00,"91",                                ,"  ",                          100.00,"53",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                           29.91,                                ,                          130.45,                                ,                                ,                                ,                                ,                                ,                                ,                                ,                         71720,                              ,                        625640,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"CP7 ",                           110,                              ,                          2450,"OP1 ",                           132,                              ,                          5680,"OP1 ",                           450,                              ,                         19350,"OP1 ",                           108,                              ,                          4640,"    ",                              ,                              ,                              ,                          4796,                              ,                        935560,                        654890,                              ,                              ,                              ,                              ,                            1.00,"  ",                             5,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          2368,"21-Nov-2002" 
"1090289","01","92","02","01","01","01","04","04","02","02","01","50","  ","02","03","01","05","05","  ",                               ,"1957","    ","    "," ",                           71.00,"92",                                ,"  ",                          100.00,"92",                                ,"  ",                            8.00,"92",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                          109.69,                                ,                          146.25,                                ,                          117.00,                                ,                                ,                                ,                                ,                                ,                       1218000,                              ,                       2287350,                              ,                        146370,                              ,                              ,                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                         15640,                              ,                       3962120,                       2773480,                              ,                              ,                              ,                              ,                            1.00,"  ",                            30,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          4667,"30-Jun-2014" 
"1090308","01","44","01","05","05","01","  ","01","01","01","01","27","  ","04","  ","01","03","03","03",                               ,"1974","    ","    "," ",                                ,"  ",                                ,"  ",                          100.00,"44",                                ,"  ",                           33.00,"53",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,                                ,                           52.93,                                ,                          104.36,                                ,                                ,                                ,                                ,                                ,                              ,                              ,                        538620,                              ,                        350440,                              ,                              ,                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                         10176,                              ,                        408970,                        286280,                              ,                              ,                              ,                              ,                            1.00,"  ",                            50,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          2812,"30-Sep-2008" 
"1091021","01","55","01","01","01","01","02","02","02","02","01","30","  ","04","  ","01","06","06","  ",                               ,"    ","    ","2002"," ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                          100.00,"55",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,                                ,                                ,                                ,                          100.00,                                ,                                ,                                ,                                ,                                ,                              ,                              ,                              ,                              ,                        254200,                              ,                              ,                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                          2542,                              ,                        254200,                        177940,                              ,                              ,                              ,                              ,                            1.00,"  ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          6592,"30-Aug-2023" 
"1140025","01","53","  ","  ","  ","  ","  ","  ","  ","  ","01","37","  ","  ","  ","  ","  ","  ","  ",                               ,"1916","    ","    "," ",                                ,"  ",                                ,"  ",                          100.00,"53",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,                                ,                          130.45,                                ,                                ,                                ,                                ,                                ,                                ,                                ,                              ,                              ,                        322860,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                          2475,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                            1.00,"  ",                            50,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                          1253,"16-Mar-2001" 
"1140027","01","53","  ","  ","  ","  ","  ","  ","  ","  ","01","37","  ","  ","  ","  ","  ","  ","  ",                               ,"1906","    ","    "," ",                                ,"  ",                                ,"  ",                          100.00,"53",                                ,"  ",                          100.00,"53",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,"  ",                                ,                                ,                          130.45,                                ,                          104.36,                                ,                                ,                                ,                                ,                                ,                              ,                              ,                        942890,                              ,                        754310,                              ,                              ,                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,"    ",                              ,                              ,                              ,                          7228,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                            1.00,"  ",                            50,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,"                                      ","  ",                           118,"21-Mar-2000" 
