"PROP   ","CARD#","1LTYPE","1CODE","1ACRES                           ","1SQFT                         ","1RATE                         ","1INFL","1PERC                           ","1VALUE                        ","2LTYPE","2CODE","2ACRES                           ","2SQFT                         ","2RATE                         ","2INFL","2PERC                           ","2VALUE                        ","3LTYPE","3CODE","3ACRES                           ","3SQFT                         ","3RATE                         ","3INFL","3PERC                           ","3VALUE                        ","4LTYPE","4CODE","4ACRES                           ","4SQFT                         ","4RATE                         ","4INFL","4PERC                           ","4VALUE                        ","TSEQ                          ","DLC        " 
"       ","01","    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"14-Sep-2000" 
"1010001","01","    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1020007","01","    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1030005","01","PRIM","11",                             .920,                              ,                        150000,"  ",                                ,                        150000,"RES ","12",                             .130,                              ,                          7500,"  ",                                ,                           975,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         16732,"20-Jun-2023" 
"1030011","01","PRIM","11",                             .920,                              ,                        150000,"  ",                                ,                        150000,"RES ","12",                             .130,                              ,                          7500,"  ",                                ,                           975,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                          5923,"30-Oct-2001" 
"1030019","01","PRIM","11",                             .920,                         40100,                        150000,"  ",                                ,                        150000,"RES ","12",                             .130,                              ,                          7500,"  ",                                ,                           975,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         16388,"15-Jun-2023" 
"1030021","01","PRIM","11",                             .920,                              ,                        150000,"  ",                                ,                        150000,"RES ","12",                            1.000,                              ,                          7500,"  ",                                ,                          7500,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         16439,"16-Jun-2023" 
"1050007","01","PRIM","11",                             .700,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         16720,"20-Jun-2023" 
"1050010","01","PRIM","11",                             .690,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         16719,"20-Jun-2023" 
"1050015","01","PRIM","11",                             .690,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                         16456,"16-Jun-2023" 
"1050016","01","PRIM","11",                             .700,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1050021","01","PRIM","11",                             .690,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
"1050022","01","PRIM","11",                             .690,                              ,                        135000,"  ",                                ,                        135000,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,"    ","  ",                                 ,                              ,                              ,"  ",                                ,                              ,                              ,"           " 
