"NBHD","N_DESC                        ","N_CODE","1CAT","1CODE","1AREA                         ","1BASE                         ","1RATE                           ","2CAT","2CODE","2AREA                         ","2BASE                         ","2RATE                           ","3CAT","3CODE","3AREA                         ","3BASE                         ","3RATE                           ","4CAT","4CODE","4AREA                         ","4BASE                         ","4RATE                           ","5CAT","5CODE","5AREA                         ","5BASE                         ","5RATE                           ","6CAT","6CODE","6AREA                         ","6BASE                         ","6RATE                           ","7CAT","7CODE","7AREA                         ","7BASE                         ","7RATE                           ","8CAT","8CODE","8AREA                         ","8BASE                         ","8RATE                           ","RR_VAL                          ","LV_VAL                          ","UNFIN_VAL                       ","1CAR_VAL                      ","2CAR_VAL                      " 
"AP","AVON PLACE                    ","07","  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,                                ,                                ,                                ,                              ,                               
"AR","AVONRIDGE                     ","45","  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,                                ,                                ,                                ,                              ,                               
"BH","BUCKINGHAM HERITAGE           ","  ","  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,                                ,                                ,                                ,                              ,                               
"BV","BUCKINGHAM VILLAGE            ","12","L ","FRUF",                              ,                              ,                          100.00,"L ","FRFF",                              ,                              ,                          100.00,"L ","BSMT",                              ,                              ,                           25.00,"G ","FSF ",                              ,                              ,                           30.00,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,                           25.00,                           25.00,                                ,                              ,                               
"FM","FOREST MEWS                   ","11","P ","FOFF",                              ,                          2500,                                ,"P ","FEFF",                              ,                          4000,                                ,"L ","FOUF",                              ,                          2500,                                ,"L ","FEUF",                              ,                          4000,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,                           25.00,                                ,                                ,                              ,                               
"FW","FARMINGTON WOODS              ","01","P ","FEFF",                              ,                              ,                           25.00,"L ","FRFF",                              ,                              ,                           50.00,"P ","FOUF",                              ,                              ,                           15.00,"P ","FOFF",                              ,                              ,                           15.00,"L ","FATT",                              ,                              ,                           40.00,"G ","FR  ",                              ,                              ,                         7500.00,"L ","FRUF",                              ,                              ,                           40.00,"  ","    ",                              ,                              ,                                ,                           15.00,                           15.00,                                ,                          7500,                          7500 
"HR","HUNTER'S RUN                  ","03","L ","FRUF",                              ,                              ,                           75.00,"L ","FRFF",                              ,                              ,                           75.00,"P ","FOFF",                              ,                          5000,                                ,"P ","FOUF",                              ,                          5000,                                ,"P ","FEFF",                              ,                          7500,                                ,"P ","FEUF",                              ,                          7500,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,                           20.00,                           20.00,                                ,                              ,                               
"LV","LAKEVIEW                      ","08","  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,                                ,                                ,                                ,                              ,                               
"PP","POND PLACE                    ","02","O ","BSMT",                              ,                              ,                            2.00,"L ","FRFF",                              ,                              ,                          100.00,"  ","RG1 ",                             1,                          5000,                                ,"O ","RG1 ",                             2,                          9000,                                ,"G ","FR  ",                             2,                          4000,                                ,"P ","FEFF",                              ,                              ,                           15.00,"P ","FOFF",                              ,                              ,                           15.00,"  ","    ",                              ,                              ,                                ,                           15.00,                           15.00,                            2.00,                          5000,                          9000 
"RM","RIVER MEAD                    ","04","  ","RG1 ",                             1,                          7500,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,                           20.00,                           20.00,                                ,                              ,                               
"SL","SECRET LAKE                   ","05","  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,"  ","    ",                              ,                              ,                                ,                                ,                                ,                                ,                              ,                               
"SM","SPRING MEADOW                 ","09","L ","FRFF",                              ,                              ,                           77.00,"L ","FRUF",                              ,                              ,                           77.00,"P ","FEFF",                              ,                          2575,                                ,"P ","FEOF",                              ,                          2575,                                ,"P ","FOFF",                              ,                          2575,                                ,"P ","FOUF",                              ,                          2575,                                ,"G ","FSF ",                              ,                              ,                           77.00,"  ","    ",                              ,                              ,                                ,                           21.00,                           21.00,                                ,                              ,                               
