"LIST ","DATE      ","TIME    ","TYPE","AMT1                            ","INT1                            ","AMT2                            ","INT2                            ","LIEN                            ","FEES                            ","DESC                    ","CERT#  ","SEQ    ","AGROSS                        ","BATCH","YR  " 
"00001","04-19-2021","        ","A ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ",  32162,   9877,                             0,"0000","2020" 
"00001","07-06-2021","        ","A ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ",  32430,   9876,                             0,"0000","2020" 
"00001","07-21-2021","        ","P ",                         4246.64,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     20,                             0,"0041","2020" 
"00001","12-22-2021","        ","P ",                            0.00,                            0.00,                         4246.64,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,    198,                             0,"0201","2020" 
"00002","06-30-2021","        ","P ",                         5387.56,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,    134,                             0,"0416","2020" 
"00002","01-31-2022","        ","P ",                            0.00,                            0.00,                         5387.56,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     35,                             0,"0252","2020" 
"00003","07-26-2021","        ","P ",                         8225.63,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0050","2020" 
"00003","01-10-2022","        ","P ",                            0.00,                            0.00,                         8225.62,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,    159,                             0,"0220","2020" 
"00004","07-14-2021","        ","P ",                         5620.19,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     46,                             0,"0022","2020" 
"00004","01-21-2022","        ","P ",                            0.00,                            0.00,                         5620.19,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,    189,                             0,"0237","2020" 
"00005","07-19-2021","        ","P ",                           18.13,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0035","2020" 
"00006","07-30-2021","        ","P ",                         6546.43,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     22,                             0,"0065","2020" 
"00006","01-31-2022","        ","P ",                            0.00,                            0.00,                         6546.42,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,    146,                             0,"0249","2020" 
"00007","07-06-2021","        ","P ",                         6738.35,                            0.00,                         6738.34,                            0.00,                            0.00,                            0.00,"BOTH PAYMENTS           ",      0,     86,                             0,"0004","2020" 
"00008","08-02-2021","        ","P ",                         6725.52,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,      4,                             0,"0072","2020" 
"00008","01-21-2022","        ","P ",                            0.00,                            0.00,                         6725.51,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0235","2020" 
"00009","07-26-2021","        ","P ",                        11393.64,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0050","2020" 
"00009","01-27-2022","        ","P ",                            0.00,                            0.00,                        11393.64,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0245","2020" 
"00010","07-26-2021","        ","P ",                         2401.72,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,    158,                             0,"0045","2020" 
"00010","01-21-2022","        ","P ",                            0.00,                            0.00,                         2401.71,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,      7,                             0,"0237","2020" 
"00011","07-22-2021","        ","P ",                         7673.65,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     19,                             0,"0043","2020" 
"00011","01-18-2022","        ","P ",                            0.00,                            0.00,                         7673.64,                            0.00,                            0.00,                            0.00,"INVOICE CLOUD           ",      0,      1,                             0,"0228","2020" 
"00012","07-26-2021","        ","P ",                           33.36,                            0.00,                           33.35,                            0.00,                            0.00,                            0.00,"BOTH PAYMENTS           ",      0,    192,                             0,"0049","2020" 
"00013","07-08-2021","        ","P ",                        40136.37,                            0.00,                        40136.37,                            0.00,                            0.00,                            0.00,"BOTH PAYMENTS           ",      0,    175,                             0,"0009","2020" 
"00014","07-28-2021","        ","P ",                         3317.86,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0057","2020" 
"00014","01-27-2022","        ","P ",                            0.00,                            0.00,                         3317.85,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0245","2020" 
"00015","07-09-2021","        ","P ",                        12603.14,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     93,                             0,"0012","2020" 
"00015","01-21-2022","        ","P ",                            0.00,                            0.00,                        12603.13,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     42,                             0,"0237","2020" 
"00016","07-12-2021","        ","P ",                         1757.54,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     77,                             0,"0018","2020" 
"00016","02-16-2022","        ","P ",                            0.00,                            0.00,                         1757.54,                           52.73,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     69,                             0,"0268","2020" 
"00017","06-23-2021","        ","P ",                         3727.70,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     67,                             0,"0402","2020" 
"00017","12-15-2021","        ","P ",                            0.00,                            0.00,                         3727.69,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,      7,                             0,"0193","2020" 
"00018","07-26-2021","        ","P ",                         3253.37,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0050","2020" 
"00018","12-21-2021","        ","P ",                            0.00,                            0.00,                         3253.37,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0199","2020" 
"00019","07-26-2021","        ","P ",                        10542.16,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,    108,                             0,"0052","2020" 
"00019","01-25-2022","        ","P ",                            0.00,                            0.00,                        10542.15,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     14,                             0,"0241","2020" 
"00020","06-30-2021","        ","P ",                         4509.05,                            0.00,                         4509.05,                            0.00,                            0.00,                            0.00,"BOTH PAYMENTS           ",      0,     91,                             0,"0416","2020" 
"00021","07-26-2021","        ","P ",                         4702.85,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0050","2020" 
"00021","01-21-2022","        ","P ",                            0.00,                            0.00,                         4702.85,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0235","2020" 
"00022","06-25-2021","        ","P ",                       140567.44,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     70,                             0,"0407","2020" 
"00022","12-10-2021","        ","P ",                            0.00,                            0.00,                       140567.43,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,      7,                             0,"0191","2020" 
"00023","07-26-2021","        ","P ",                         3699.13,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0050","2020" 
"00023","01-21-2022","        ","P ",                            0.00,                            0.00,                         3699.12,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0235","2020" 
"00024","07-26-2021","        ","P ",                         7924.75,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0050","2020" 
"00024","01-21-2022","        ","P ",                            0.00,                            0.00,                         7924.74,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0235","2020" 
"00025","05-12-2021","        ","A ",                          205.78,                            0.00,                          205.77,                            0.00,                            0.00,                            0.00,"ADD FINISHED BSMT AREA &",  32223,   9877,                         12030,"0000","2020" 
"00025","06-23-2021","        ","P ",                         5746.95,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,    126,                             0,"0403","2020" 
"00025","01-21-2022","        ","P ",                            0.00,                            0.00,                         5746.93,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0235","2020" 
"00026","07-26-2021","        ","P ",                         3594.28,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"INVOICE CLOUD           ",      0,      1,                             0,"0051","2020" 
"00026","01-31-2022","        ","P ",                            0.00,                            0.00,                         3594.27,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,      5,                             0,"0254","2020" 
"00027","07-19-2021","        ","P ",                         5270.40,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0035","2020" 
"00027","12-17-2021","        ","P ",                            0.00,                            0.00,                         5270.39,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0196","2020" 
"00028","07-13-2021","        ","P ",                         9046.67,                            0.00,                         9046.66,                            0.00,                            0.00,                            0.00,"BOTH PAYMENTS           ",      0,     61,                             0,"0019","2020" 
"00029","07-02-2021","        ","P ",                         3377.90,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,    139,                             0,"0001","2020" 
"00029","01-10-2022","        ","P ",                            0.00,                            0.00,                         3377.89,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     69,                             0,"0220","2020" 
"00030","07-14-2021","        ","P ",                         3780.89,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     99,                             0,"0022","2020" 
"00030","01-04-2022","        ","P ",                            0.00,                            0.00,                         3780.89,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     95,                             0,"0214","2020" 
"00031","07-26-2021","        ","P ",                         3478.99,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0050","2020" 
"00031","12-21-2021","        ","P ",                            0.00,                            0.00,                         3478.98,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0199","2020" 
"00032","07-19-2021","        ","P ",                         5372.34,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,    161,                             0,"0036","2020" 
"00032","12-07-2021","        ","P ",                            0.00,                            0.00,                         5372.34,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     61,                             0,"0186","2020" 
"00033","07-26-2021","        ","P ",                         4572.85,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0050","2020" 
"00033","01-21-2022","        ","P ",                            0.00,                            0.00,                         4572.85,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0235","2020" 
"00034","07-02-2021","        ","P ",                          743.04,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"INVOICE CLOUD           ",      0,      1,                             0,"0002","2020" 
"00034","01-21-2022","        ","P ",                            0.00,                            0.00,                          743.04,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0235","2020" 
"00035","08-02-2021","        ","P ",                        13769.53,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,      2,                             0,"0072","2020" 
"00035","12-27-2021","        ","P ",                            0.00,                            0.00,                        13769.52,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,    158,                             0,"0204","2020" 
"00036","08-02-2021","        ","P ",                         2480.06,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,      1,                             0,"0072","2020" 
"00036","12-27-2021","        ","P ",                            0.00,                            0.00,                         2480.05,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,    156,                             0,"0204","2020" 
"00037","07-19-2021","        ","P ",                         2161.05,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"INVOICE CLOUD           ",      0,      1,                             0,"0033","2020" 
"00037","03-04-2022","        ","P ",                            0.00,                            0.00,                         2128.62,                           97.25,                            0.00,                            0.00,"INVOICE CLOUD           ",      0,      1,                             0,"0279","2020" 
"00037","04-08-2022","        ","P ",                            0.00,                            0.00,                           32.42,                            0.49,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,      5,                             0,"0316","2020" 
"00038","07-13-2021","        ","P ",                         9500.63,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,     49,                             0,"0019","2020" 
"00038","01-31-2022","        ","P ",                            0.00,                            0.00,                         9500.63,                            0.00,                            0.00,                            0.00,"INVOICE CLOUD           ",      0,      1,                             0,"0253","2020" 
"00039","07-26-2021","        ","P ",                         2678.82,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0050","2020" 
"00039","01-21-2022","        ","P ",                            0.00,                            0.00,                         2678.81,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0235","2020" 
"00040","07-26-2021","        ","P ",                         2847.64,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0050","2020" 
"00040","01-21-2022","        ","P ",                            0.00,                            0.00,                         2847.64,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0235","2020" 
"00041","07-26-2021","        ","P ",                         4561.56,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0050","2020" 
"00041","01-21-2022","        ","P ",                            0.00,                            0.00,                         4561.56,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0233","2020" 
"00042","07-31-2021","        ","P ",                         4067.57,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"INVOICE CLOUD           ",      0,      1,                             0,"0068","2020" 
"00042","01-05-2022","        ","P ",                            0.00,                            0.00,                         4067.57,                            0.00,                            0.00,                            0.00,"INVOICE CLOUD           ",      0,      1,                             0,"0215","2020" 
"00043","07-28-2021","        ","P ",                         2883.05,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0057","2020" 
"00043","01-27-2022","        ","P ",                            0.00,                            0.00,                         2883.05,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0245","2020" 
"00044","06-18-2021","        ","P ",                         8403.35,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"COMPLETE PAYMENT        ",      0,    100,                             0,"0395","2020" 
"00044","01-21-2022","        ","P ",                            0.00,                            0.00,                         8403.34,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0235","2020" 
"00045","07-26-2021","        ","P ",                         3360.45,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0050","2020" 
"00045","01-21-2022","        ","P ",                            0.00,                            0.00,                         3360.45,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0235","2020" 
"00046","07-28-2021","        ","P ",                         5190.51,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"FIRST HALF PMT          ",      0,      1,                             0,"0057","2020" 
"00046","01-27-2022","        ","P ",                            0.00,                            0.00,                         5190.51,                            0.00,                            0.00,                            0.00,"SECOND HALF PMT         ",      0,      1,                             0,"0245","2020" 
