"PROP   ","CARD#","1VECTOR                                                               ","2VECTOR                                                               ","3VECTOR                                                               ","4VECTOR                                                               ","5VECTOR                                                               ","6VECTOR                                                               ","7VECTOR                                                               ","8VECTOR                                                               ","9VECTOR                                                               ","AVECTOR                                                               ","BVECTOR                                                               ","CVECTOR                                                               ","DVECTOR                                                               ","EVECTOR                                                               ","FVECTOR                                                               ","01LAB ","02LAB ","03LAB ","04LAB ","05LAB ","06LAB ","07LAB ","08LAB ","09LAB ","10LAB ","11LAB ","12LAB ","13LAB ","14LAB ","15LAB ","16LAB ","17LAB ","18LAB ","19LAB ","20LAB ","01AREA                        ","02AREA                        ","03AREA                        ","04AREA                        ","05AREA                        ","06AREA                        ","07AREA                        ","08AREA                        ","09AREA                        ","10AREA                        ","11AREA                        ","12AREA                        ","13AREA                        ","14AREA                        ","15AREA                        ","16AREA                        ","17AREA                        ","18AREA                        ","19AREA                        ","20AREA                        " 
"1030005","01","1.5SFR/B=N25E42M1S20W6S5W36%WDDK@45,37=G1N6E16N10W24S16E8%1SFR/B=G1N6E","22S14M2W22N8%2CFG=G2S22W22M3N22E22%FOH@24,-3=G3GN4XW42N1E42S1%1SFR/OFP","=G3GN5XN5W6S5E6%WDDK=G1GN1XN14E34S12E4S2W38                           ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","2SFR  ","B     ","WDDK  ","1SFR  ","2CFG  ","FOH   ","OFP   ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                          1020,                          1328,                           288,                           338,                           484,                            42,                            30,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"1030011","01","2SFR/B=N26M2E54M3S13M1W22S13W32%1SFR@7,30=G2GE2XN2E9S2W9%WDDK=G3GW2XN1","0W13N5W17S15M4E30%1SFR@27,30=G4GE2XN2E6S2W6%1SFR(308)/2CFG(594)#0=G1S2","7M5W22N27E22%FOH@9,-4=G2GS26XS1E18N1W18%OFP=G5GW22GN14XW14S4E14N4     ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","2SFR  ","B     ","1SFR  ","WDDK  ","FREEF ","FOH   ","OFP   ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                          1118,                          1118,                            30,                           385,                            -1,                            18,                            56,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"1030019","01","2CFG=N24M1E24S24W24%1SFR=G1N6E24M2S6W24%1SFR/B=G2GN1XE39N12W39S12%2SFR","/B=G2S26E39M4N27W39S1%FOH@65,2=G0GE24GN3XN1E39S1W39%WDDK=G2GN4XN9E24N2","0W30S28E6C                                                            ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","2CFG  ","1SFR  ","WDDK  ","B     ","2SFR  ","FOH   ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                           576,                           612,                           366,                          1521,                          1053,                            39,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"1030021","01","2CFG=N22M1E22M2S22W22%1SFR/B=G1N16M3E14S16W14%CPT=G3N20E46S20W46%2SFR/","B@37,26=G2W8N16E32S4E14M5S11E8S8W8S17M6W15N18M7W23N6%OFP=G5E12S8M8W12N","8%1SFR/B@66,9=G8S23W12N12E8N8W8N3E12%FOH=G6GW6XS2W6N2E6%2SSTN=G7W7S7E7","N7                                                                    ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","2CFG  ","1SFR  ","B     ","CPT   ","2SFR  ","OFP   ","FOH   ","2SSTN ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                           484,                           436,                          1678,                           920,                          1242,                            96,                            12,                            49,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"1050007","01","2SFR/B=N36M1E26S18W1M2S18W25%FOH@-5,6=G2E1S19W27N37E1S36E25N18%1SFR@3,","40=G1GE1XN2E10S2W10%OFP=G2E15S4M3W15N4%2CFG=G3E22N29W22M4S29%1SFR/B=G3","GN4XW14N18W1N1E15S19%1SFR=G4S6W15N20E15S14%WDDK@8,59=G4E4N18GN3GW3DW16","GN9GW3DW24GW6GS6DS13GS3GE6DS15E3N2E10S2E14|%N21E15S14                 ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"1050010","01","2SFR/B=N25M1E35M2S25M3W35%FOH@17,28=G1N1E35S1W35%1SFR/B=G2E15M4S20M5W1","5N20%2CFG=G4E22S24W22N24%OFP=G5S4W15N4E15%FOH@20,-2=G3S1W35N1E35%1SFR=","G2GE3XN16E20S16W20                                                    ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","2SFR  ","B     ","FOH   ","1SFR  ","2CFG  ","OFP   ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                           875,                          1175,                            70,                           620,                           528,                            60,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"1050015","01","2SFR/B=N25M1E35M2S25M3W35%FOH@17,28=G1N1E35S1W35%FOH@17,-3=G3S1W35N1E3","5%1SFR/B=G2E15M4S20W15N20%2CFG=G4E22S24W22M5N24%OFP@42,3=G5N4W15S4E15%","CPT=G4N12W14S12E14                                                    ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","2SFR  ","B     ","FOH   ","1SFR  ","2CFG  ","OFP   ","CPT   ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                           875,                          1175,                            70,                           300,                           528,                            60,                           168,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"1050016","01","2SFR/B=N35M1E25M2S18W1M3S17W24%FOH@28,4=G3E1S18W26N36E1S35E24N17%OFP=G","3S4E12N4M4W12%1SFR/B=G4W11N18W1N2M5E28M6S24W16N4%2CFG=G6E23S24W23N24%W","DDK=G5GE2XN12E24S12W24                                                ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"1050021","01","2SFR/B=N26M1E15S1E19M2S25W34%FOH@30,-2=E34S1W34N1%1SFR(48)/OFP(105)#0@","4,-3=E21S5W21N5%1SFR(524)/3CFRG(820)#0=S6W36N24E14S2E22S16%1SFR/B=G1N4","W22S14E22N10%1SFR@-6,36=G1E15N4W14N12W15S12E14S4%FOH@26,28=G2N1W19S1E1","9%WDDK@-18,39=G1GS10GW22GN2XW14N16E14N13E26GE5GS5DS12W8N12W15S12W8S12%","1SFR/B=G2GS3XE16S20W16N20                                             ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
"1050022","01","1SFR/B=N27M1E56S28W28N3W6S2W22%EFP/CPAT=G1N12E18M2S12W18%WDDK=G2E32S12","W32N12                                                                ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ","      ",                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                              ,                               
