"#ACCT  ","YR  ","SEWLIST","DATE      ","TIME    ","PAMT1                           ","PINT1                           ","PAMT2                           ","PINT2                           ","PLIEN                           ","PATTY                           ","PFEES                           ","PDELAMT                         ","PDELINT                         ","PDESC                   ","BTYPE","TYPE","TCAT","XLIST","BATCH","SEQ    " 
"0000000","0000","0000000","04-24-2012","10:11:59",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","P ","W ","00000","0193",     16 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
"0000000","0000","0000000","          ","        ",                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,                            0.00,"                        ","  ","  ","  ","00000","0000",      0 
