"PROP   ","PERMIT1                                                               ","PERMIT2                                                               ","PERMIT3                                                               ","PERMIT4                                                               ","PERMIT5                                                               ","PERMIT6                                                               ","PERMIT7                                                               ","PERMIT8                                                               ","PERMIT9                                                               ","PERMIT10                                                              ","PERMIT11                                                              ","PERMIT12                                                              " 
"0000002","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      " 
"0000003","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      " 
"0000007","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      " 
"0000022","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      " 
"0000117","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      " 
"0000161","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      " 
"0000206","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      " 
"0000260","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      " 
"0000305","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      " 
"0000317","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      " 
"0000334","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      " 
"0000404","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      " 
"0000640","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      " 
"0001227","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      " 
"0005491","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      " 
"0010109","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      " 
"0016100","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      " 
"0050000","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      ","                                                                      " 
