GroupCode,GroupType,Name,Name2,LastBilled,InitialAssessed,FlatRate,SewerMinimum,WaterMinimum,LienFee,DelinqIntRate,BondIntRate,MinimumInt,NumberInstallments,EvenInstallments,RateCategory,RateName,Rate,ReteUseUnit,RateFactor,RateFromUnit,RateToUnit,RateCategory,RateName,Rate,ReteUseUnit,RateFactor,RateFromUnit,RateToUnit,RateCategory,RateName,Rate,ReteUseUnit,RateFactor,RateFromUnit,RateToUnit,RateCategory,RateName,Rate,ReteUseUnit,RateFactor,RateFromUnit,RateToUnit,RateCategory,RateName,Rate,ReteUseUnit,RateFactor,RateFromUnit,RateToUnit,RateCategory,RateName,Rate,ReteUseUnit,RateFactor,RateFromUnit,RateToUnit,RateCategory,RateName,Rate,ReteUseUnit,RateFactor,RateFromUnit,RateToUnit,RateCategory,RateName,Rate,ReteUseUnit,RateFactor,RateFromUnit,RateToUnit,RateCategory,RateName,Rate,ReteUseUnit,RateFactor,RateFromUnit,RateToUnit,RateCategory,RateName,Rate,ReteUseUnit,RateFactor,RateFromUnit,RateToUnit,*,*
A1,A,SEWER ASSESSMENT, , , ,.00,.00,.00,.00,.0000,.00000,.00,0,N,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,*
BM,A,BROOKE MEADOW 1, ,20090430,20060430,.00,.00,.00,24.00,.1800,.00000,.00,3,Y,3, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,*
F1,A,FLAT RATE SEWER ONLY, ,20030901,20040901,45.00,.00,.00,.00,.1800,.00000,.00,0,N,FI, ,45.00,N,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,*
FL,U,FIRE LINE, ,20250401,20040901,.00,.00,.00,.00,.1800,.00000,.00,0,N,FL,FIRELINE,5.00,N,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,*
I1,U,IRRIGATION, ,20230901,20230901,.00,.00,22.75,.00,.1800,.18000,.00,3,N,CM,MINIMUM,22.75,N,.00,.00,.00,CF,/100 CU FT,4.55,R,.00,6.00,999999.99,M6, ,10.00,N,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,*
PB,A,PAST BILLED SEWER ASSESSMENT,S,20060401,20060401,.00,.00,.00,24.00,.0000,.18000,.00,3,N,3, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,*
S1,U,SEWER, ,20230901,20230901,.00,32.05,22.75,24.00,.1800,.00000,.00,0,N,CM,MINIMUM,32.05,N,.00,.00,5.00,CF,/100 CU FT,6.41,R,.00,6.00,99999.00,9, ,.00,R,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,*
S2,U,SEWER, ,20230901,20230901,.00,32.05,22.75,24.00,.1800,.00000,.00,0,N,CM,MINIMUM,32.05,N,.00,.00,5.00,CF,/100 CU FT,6.41,R,.00,6.00,999999.00,9, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,*
S3,U,SEWER, ,20230901,20230901,.00,32.05,22.75,24.00,.1800,.00000,2.00,0,N,CM,MINIMUM,32.05,N,.00,.00,5.00,CF,/100 CU FT,6.41,R,.00,6.00,999999.00,9, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,*
SM,A,SHUTTLE MEADOW, ,20150501,20110501,.00,.00,.00,.00,.1800,.06000,.00,5,N,5, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,*
W1,U,WATER, ,20230901,20230901,.00,32.05,22.75,24.00,.1800,.00000,2.00,0,N,CM,MINIMUM,22.75,2,.00,.00,5.00,CF,/100 CU FT,4.55,R,.00,6.00,999999.00,M1,1  METER,30.00,0,.00,.00,.00,M2,1 1/2  MET,52.50,2,.00,.00,.00,M3,2  METER,77.50,7,.00,.00,.00,M4,3  METER,155.00,5,.00,.00,.00,M5,4  METER,262.50,6,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,*
W2,U,WATER, ,20230901,20230901,.00,32.05,22.75,24.00,.1800,.00000,2.00,0,N,CM,MINIMUM,22.75,2,.00,.00,5.00,CF,/100 CU FT,4.55,R,.00,6.00,999999.00,M1,1  METER,30.00,0,.00,.00,.00,M2,1 1/2  MET,52.50,2,.00,.00,.00,M3,2  METER,77.50,7,.00,.00,.00,M4,3  METER,155.00,5,.00,.00,.00,M5,4  METER,262.50,6,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,*
W3,U,WATER, ,20230901,20230901,.00,32.05,22.75,24.00,.1800,.00000,2.00,0,N,CM,MINIMUM,22.75,2,.00,.00,5.00,CF,/100 CU FT,4.55,R,.00,6.00,999999.00,M1,1  METER,30.00,0,.00,.00,.00,M2,1 1/2  MET,52.50,2,.00,.00,.00,M3,2  METER,77.50,7,.00,.00,.00,M4,3  METER,155.00,5,.00,.00,.00,M5,4  METER,262.50,6,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,*
W4,A, , ,2000, ,.00,.00,.00,.00,.0000,.00000,.00,0,N,0, ,.00,R,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,0, ,.00,0,.00,.00,.00,*
