Hookup,BillingDate,Reading,Type,ReadDate,Ref,AddedUse,AddUseHow,*,*
 ,00000000,70.00,R,000000, ,.00,0,*
100002,19490120,16.00,R,000000, ,.00,0,*
100003,06/21/20,19.00,R,000000, ,.00,0,*
100003,06/22/20,19.00,R,000000, ,.00,0,*
100003,06/26/20,19.00,R,000000, ,.00,0,*
100003,19490120,19.00,R,000000, ,.00,0,*
100004,06/21/20,41.00,R,000000, ,.00,0,*
100004,06/22/20,41.00,R,000000, ,.00,0,*
100004,06/26/20,41.00,R,000000, ,.00,0,*
100005,06/21/20,17.00,R,000000, ,.00,0,*
100005,06/22/20,17.00,R,000000, ,.00,0,*
100005,06/26/20,17.00,R,000000, ,.00,0,*
100006,06/21/20,26.00,R,000000, ,.00,0,*
100006,06/22/20,26.00,R,000000, ,.00,0,*
100006,06/26/20,26.00,R,000000, ,.00,0,*
100007,06/21/20,54.00,R,000000, ,.00,0,*
100007,06/22/20,54.00,R,000000, ,.00,0,*
100007,06/26/20,54.00,R,000000, ,.00,0,*
100008,06/21/20,40.00,R,000000, ,.00,0,*
100008,06/22/20,40.00,R,000000, ,.00,0,*
100008,06/26/20,40.00,R,000000, ,.00,0,*
100009,20110420,15.00,R,000000, ,.00,0,*
100010,06/21/20,21.00,R,000000, ,.00,0,*
100010,06/22/20,21.00,R,000000, ,.00,0,*
100010,06/26/20,21.00,R,000000, ,.00,0,*
100011,20060720,20.00,R,000000, ,.00,0,*
100012,06/21/20,92.00,R,000000, ,.00,0,*
100012,06/22/20,92.00,R,000000, ,.00,0,*
100012,06/26/20,92.00,R,000000, ,.00,0,*
100012,20000020,92.00,R,000000, ,.00,0,*
100013,06/21/20,30.00,R,000000, ,.00,0,*
100013,06/22/20,30.00,R,000000, ,.00,0,*
100013,06/26/20,30.00,R,000000, ,.00,0,*
100014,06/21/20,17.00,R,000000, ,.00,0,*
100014,06/22/20,17.00,R,000000, ,.00,0,*
100014,06/26/20,17.00,R,000000, ,.00,0,*
100015,20000720,29.00,R,000000, ,.00,0,*
