All Terrain                   ,39
Ambulance                     ,37
Camp Trailer                  ,11
Camper                        ,31
Combination                   ,3
Commercial                    ,2
Congressional Medal of Honor  ,17
Construction                  ,35
Dealer                        ,72
Experimental Test             ,23
Factory                       ,22
Farm                          ,4
Fire Apparatus                ,29
General Dist Bus              ,26
Handicapped                   ,15
Handicapped COMB              ,15
Handicapped Motorcycle        ,15
Hearse                        ,21
Historical                    ,25
Interstate                    ,8
Legislature                   ,27
Livery                        ,5
Motorcycle                    ,12
Passenger                     ,1
Permits                       ,34
POW CMPR                      ,31
POW COMB                      ,3
POW Veteran                   ,16
Public Service Bus            ,7
School Bus                    ,40
School Bus Livery             ,41
Senate                        ,27
Service Bus                   ,38
Snowmobile                    ,36
Special Mobile Equip          ,13
State Serv Bus                ,38
Student Transport - Comb      ,3
Student Transport - Serv Bus  ,9
Taxi                          ,6
Trailer                       ,10
Transporter                   ,71
US Congress                   ,28
US Senate                     ,28
Van Pool                      ,19
Veteran                       ,14
Veteran CMPR                  ,14
Veteran COMB                  ,14
Vol Fire Fighter COMB         ,33
Volunteer Fire Fighter        ,33
Wrecker                       ,70
