BatchNumber,BatchDesc,BatchTxType,BatchDate,PeriodStart,PeriodEnd,BillingFreq,Posted
1,W&S readings 4/2003,RD,4/1/2003,10/1/2002,4/1/2003,S,FALSE
4,monthly sept 1st 2003,RD,9/1/2003,8/1/2003,9/1/2003,M,FALSE
5,October 2003 billings,RD,10/1/2003,4/1/2003,10/1/2003,S,FALSE
6,monthly 9/1/03,PY,9/16/2003,,,,TRUE
8,september 2003 monthly,PY,9/16/2003,,,,TRUE
9,9/24/03  payments,PY,9/24/2003,,,,TRUE
11,Oct 2003 payments,PY,9/30/2003,,,,TRUE
13,"October 1, 2003 Monthly",RD,10/1/2003,9/1/2003,10/1/2003,M,FALSE
14,OCTOBER 2003 W/S,PY,10/2/2003,,,,TRUE
16,OCTOBER 2003 WATER/SEWER,PY,10/2/2003,,,,TRUE
17,october 2003 w/s,PY,10/3/2003,,,,TRUE
18,October 2003 w/s,PY,10/6/2003,,,,TRUE
19,October 2003 payments,PY,10/7/2003,,,,TRUE
20,October 2003 payments,PY,10/7/2003,,,,TRUE
21,October 2003 payments,PY,10/8/2003,,,,TRUE
22,October 2003 W/S,PY,10/9/2003,,,,TRUE
23,October 2003 W/S,PY,10/10/2003,,,,TRUE
24,October 2003 W/S,PY,10/14/2003,,,,TRUE
25,October 2003 W/S,PY,10/15/2003,,,,TRUE
27,October 2003 W/S,PY,10/16/2003,,,,TRUE
28,October 2003 W/S,PY,10/16/2003,,,,TRUE
29,October 2003 Friday 10/17,PY,10/17/2003,,,,TRUE
32,October 2003 Water/Sewer Monday 10/20,PY,10/20/2003,,,,TRUE
33,October 2003 W/S Tuesday,PY,10/21/2003,,,,TRUE
34,October 2003 W/S Wednesday,PY,10/22/2003,,,,TRUE
35,October 2003 W/S Thursday,PY,10/23/2003,,,,TRUE
36,October 2003 W/S Friday,PY,10/24/2003,,,,TRUE
37,October 2003 W/S Monday,PY,10/27/2003,,,,TRUE
38,October 2003 W/S Tuesday,PY,10/28/2003,,,,TRUE
39,October 2003 W/S Wednesday,PY,10/29/2003,,,,TRUE
40,October 2003 W/S Thursday,PY,10/30/2003,,,,TRUE
41,October 2003 W/S Friday,PY,10/30/2003,,,,TRUE
42,October 2003 W/S Friday-#2,PY,10/31/2003,,,,TRUE
43,October 2003 W/S Monday,PY,11/3/2003,,,,TRUE
44,November Interest,IN,11/1/2003,,,,FALSE
45,October 2003 W/S w/Nov. Int.,PY,11/3/2003,,,,TRUE
46,November 2003 Monthly,RD,11/1/2003,10/1/2003,11/1/2003,M,FALSE
47,October 2003 W/S w/Nov. Int. Wednesday,PY,11/5/2003,,,,TRUE
48,October 2003 W/S Thursday,PY,11/6/2003,,,,TRUE
49,October 2003 W/S Monday 11/10/03,PY,11/10/2003,,,,TRUE
50,October 2003 W/S Thursday,PY,11/13/2003,,,,TRUE
51,Annual Readings i.e. High School Fields,RD,12/1/2003,4/16/2003,11/10/2003,A,FALSE
52,11/13/03 Inspection Fee,PY,11/13/2003,,,,TRUE
53,October 2003 W/S Monday,PY,11/17/2003,,,,TRUE
54,October 2003 W/S Tuesday,PY,11/18/2003,,,,TRUE
55,October 2003 W/S Wednesday,PY,11/19/2003,,,,TRUE
56,October 2003 W/S Monday,PY,11/24/2003,,,,TRUE
57,December 2003 water shut-off,IN,12/1/2003,,,,FALSE
58,December 2003 Monthly,RD,12/1/2003,11/1/2003,12/1/2003,M,FALSE
59,,RD,,,,M,FALSE
60,October 2003 W/S Monday-No Dec. Int.,PY,12/1/2003,,,,TRUE
61,October 2003 W/S Thursday,PY,12/4/2003,,,,TRUE
62,October 2003 W/S Friday,PY,12/5/2003,,,,TRUE
63,October 2003 W/S Monday,PY,12/8/2003,,,,TRUE
64,October 2003 W/S Friday,PY,12/12/2003,,,,TRUE
65,October 2003 W/S Monday,PY,12/15/2003,,,,TRUE
66,October 2003 W/S Tuesday,PY,12/16/2003,,,,TRUE
67,October 2003 W/S Wednesday,PY,12/17/2003,,,,TRUE
69,October 2003 W/S Friday,PY,12/19/2003,,,,TRUE
70,October 2003 W/S Monday,PY,12/22/2003,,,,TRUE
71,October 2003 W/S Tuesday,PY,12/30/2003,,,,TRUE
73,January 2004 Monthly,RD,1/1/2004,12/1/2003,1/1/2004,M,FALSE
74,October 2003 Water/Sewer Tuesday,PY,1/6/2004,,,,TRUE
75,October 2003 W/S Friday,PY,1/9/2004,,,,TRUE
76,October 2003 W/S Tuesday,PY,1/20/2004,,,,TRUE
82,October 2003 W/S Tuesday,PY,1/27/2004,,,,TRUE
83,February 2004 Monthly,RD,2/1/2004,1/1/2004,2/1/2004,M,FALSE
85,April 2004 Readings,RD,4/1/2004,10/1/2003,4/1/2004,S,FALSE
86,"Friday, February 6, 2004",PY,2/6/2004,,,,TRUE
87,"Friday, 2/13/04",PY,2/13/2004,,,,TRUE
88,Thursday 2/19/04,PY,2/18/2004,,,,TRUE
89,Monday 2/23/04,PY,2/23/2004,,,,TRUE
91,"Thursday, 2/26/04",PY,2/25/2004,,,,TRUE
93,March 2004 Monthly,RD,3/1/2004,2/1/2004,3/1/2004,M,FALSE
94,"Monday, 3/8/04",PY,3/8/2004,,,,TRUE
95,"Monday, 3/15/04",PY,3/15/2004,,,,TRUE
96,"Monday, 3/22/04",PY,3/22/2004,,,,TRUE
98,"Friday, 3/26/04",PY,3/26/2004,,,,TRUE
99,"Monday, 3/29/04",PY,3/29/2004,,,,TRUE
100,Monthly April 2004,RD,4/1/2004,3/1/2004,4/1/2004,M,FALSE
104,"Thursday, 4/1/04",PY,4/1/2004,,,,TRUE
105,"Friday, 4/2/04",PY,4/2/2004,,,,TRUE
106,"Monday, 4/5/04",PY,4/5/2004,,,,TRUE
107,"Monday, 4/5/04 #2",PY,4/5/2004,,,,TRUE
108,"Monday, 4/5/04 #3",PY,4/5/2004,,,,TRUE
109,"Tuesday, 4/6/04",PY,4/6/2004,,,,TRUE
111,"Wednesday, 4/7/04",PY,4/7/2004,,,,TRUE
112,"Thursday, 4/8/04",PY,4/8/2004,,,,TRUE
113,"Thursday, 4/8/04 #2",PY,4/8/2004,,,,TRUE
114,"Monday, 4/12/04",PY,4/12/2004,,,,TRUE
115,"Tuesday, 4/13/04",PY,4/13/2004,,,,TRUE
116,"Wednesday, 4/14/04",PY,4/14/2004,,,,TRUE
117,"Thursday, 4/15/04",PY,4/15/2004,,,,TRUE
118,"Thursday, 4/15/04 #2",PY,4/15/2004,,,,TRUE
120,"Monday, 4/19/04",PY,4/19/2004,,,,TRUE
122,"Tuesday, 4/20/04",PY,4/20/2004,,,,TRUE
123,"Wednesday, 4/21/04",PY,4/21/2004,,,,TRUE
124,"Thursday, 4/22/04",PY,4/22/2004,,,,TRUE
125,"Friday, 4/23/04",PY,4/23/2004,,,,TRUE
126,"Monday, 4/26/04",PY,4/26/2004,,,,TRUE
127,"Tuesday, 4/27/04",PY,4/27/2004,,,,TRUE
128,April 2004,IN,5/1/2004,,,,FALSE
130,"Thursday, 4/29/04",PY,4/29/2004,,,,TRUE
132,Friday 4/30/04,PY,4/30/2004,,,,TRUE
133,May 2004 Monthly,RD,5/1/2004,4/1/2004,5/1/2004,M,FALSE
134,"Monday, 5/3/04",PY,5/3/2004,,,,TRUE
137,"Tuesday, 5/4/04",PY,5/4/2004,,,,TRUE
138,"Thursday, 5/6/04",PY,5/6/2004,,,,TRUE
140,"Monday, 5/10/04",PY,5/10/2004,,,,TRUE
145,"Wednesday, 5/12/04",PY,5/12/2004,,,,TRUE
146,"Thursday, 5/13/04",PY,5/13/2004,,,,TRUE
147,"Friday, 5/14/04",PY,5/14/2004,,,,TRUE
148,"Monday, 5/17/04",PY,5/17/2004,,,,TRUE
149,"Tuesday, 5/18/04",PY,5/18/2004,,,,TRUE
150,"Wednesday, 5/19/04",PY,5/19/2004,,,,TRUE
151,"Thursday, 5/20/04",PY,5/20/2004,,,,TRUE
152,"Tuesday, 5/25/04",PY,5/25/2004,,,,TRUE
155,June 2004 Monthly,RD,6/1/2004,5/1/2004,6/1/2004,M,FALSE
156,"Thursday, 5/27/04",PY,5/27/2004,,,,TRUE
