LocationID,CustomerID,LocationType,StreetCode,StreetNumber,StreetNumberSuffix,LocationStatus,Service,BillingFreq,MeterFeeCode,MeterLocation,BuildingType,TypeOfService,HazardLevel,LastInspectDate,FireLine,FireLineSize,LienIndicator,TestComments,OldAcct,Warning,MIU_ID,Record_Status,Multiplier,Read_Direction,Decimal_Location,Record_Type,Number_Of_Dials,Route_No,Page_No,Read_Seq
1,1961,1,20,15,0,A,B,Q,1,left,dwelling,,,,N,,N,,1020001500,,1540367004,Z,1,L,0,EU,6,4,10,00
2,1972,1,20,18,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1020001800,,1462008254,Z,1,L,0,EU,6,4,20,00
3,3,1,20,23,0,A,B,Q,1,left,dwelling,,,,N,,N,,1020002300,,1461874826,Z,1,L,0,EU,6,4,30,00
4,4,1,20,24,0,A,B,Q,1,front,dwelling,,,,N,,N,,1020002400,,1461971804,Z,1,L,0,EU,6,4,40,00
5,1365,1,20,28,0,A,B,Q,1,front left bush,dwelling,,,,N,,N,,1020002800,,1462031628,Z,1,L,0,EU,6,4,50,00
6,1483,1,20,29,0,A,B,Q,1,right,dwelling,,,,N,,N,,1020002900,,1461932782,Z,1,L,0,EU,6,4,60,00
7,2315,1,20,34,0,A,B,Q,1,right,dwelling,,,,N,,N,,1020003400,,1461913008,Z,1,L,0,EU,6,4,70,00
8,8,1,20,35,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1020003500,,1462092784,Z,1,L,0,EU,6,4,80,00
9,9,1,20,45,0,A,B,Q,1,left,dwelling,,,,N,,N,,1020004500,,1462034262,Z,1,L,0,EU,6,4,90,00
10,8,1,20,46,0,A,B,Q,1,right drive,dwelling,,,,N,,N,,1020004600,,1461904666,Z,1,L,0,EU,6,4,100,00
11,1233,1,20,50,0,A,B,Q,1,left side,dwelling,,,,N,,N,,1020005000,,1548159694,Z,1,L,0,EU,6,4,110,00
12,12,1,20,53,0,A,B,Q,1,right,dwelling,,,,N,,N,,1020005300,,1461932786,Z,1,L,0,EU,6,4,120,00
13,13,1,20,54,0,A,B,Q,1,right,dwelling,,,,N,,N,"11/11 House now has additional number added per cust. Request to TOB.  #56 Baxter is added,  We only have one meter so this does not affect WFD",1020005400,,1462092246,Z,1,L,0,EU,6,4,130,00
14,2167,1,20,63,0,A,B,Q,1,left,dwelling,,,,N,,N,,1020006300,,1480543092,Z,1,L,0,EU,6,4,140,00
15,15,1,40,3,0,I,B,Q,1,front left,dwelling,,,,N,,N,Town changed address to 19 Brandegee Lane 1/04,1040000300,,1462089946,Z,1,L,0,EU,6,1,800,00
16,2046,1,40,9,0,A,B,Q,1,left,dwelling,,,,N,,N,,1040000900,,1481913118,Z,1,L,0,EU,6,3,1050,00
17,17,1,40,10,0,A,B,Q,1,right,dwelling,,,,N,,N,,1040001000,,1461870964,Z,1,L,0,EU,6,3,1060,00
18,1857,1,40,16,0,A,B,Q,1,left,dwelling,,,,N,,N,,1040001600,,1461935014,Z,1,L,0,EU,6,3,1070,00
19,19,1,40,17,0,A,B,Q,1,right,dwelling,,,,N,,N,,1040001700,,1462094500,Z,1,L,0,EU,6,3,1080,00
20,20,1,40,22,0,A,B,Q,1,left,dwelling,,,,N,,N,,1040002200,,1461976758,Z,1,L,0,EU,6,3,1090,00
21,1848,1,40,25,0,A,B,Q,1,left front,dwelling,,,,N,,N,,1040002500,,1461923478,Z,1,L,0,EU,6,3,1100,00
22,22,1,40,28,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1040002800,,1461968536,Z,1,L,0,EU,6,3,1110,00
23,23,1,40,34,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1040003400,,1461969386,Z,1,L,0,EU,6,3,1120,00
24,24,1,40,35,0,A,B,Q,1,right,dwelling,,,,N,,N,,1040003500,,1462047754,Z,1,L,0,EU,6,3,1130,00
25,2300,1,40,43,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1040004300,,1461969382,Z,1,L,0,EU,6,3,1140,00
26,26,1,40,44,0,A,B,Q,1,left,dwelling,,,,N,,N,,1040004400,,1462051042,Z,1,L,0,EU,6,3,1150,00
27,2113,1,40,47,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1040004700,,1461897606,Z,1,L,0,EU,6,3,1160,00
28,28,1,40,50,0,A,B,Q,1,window right,dwelling,,,,N,,N,,1040005000,,1462038774,Z,1,L,0,EU,6,3,1170,00
29,29,1,40,56,0,A,B,Q,1,left,dwelling,,,,N,,N,,1040005600,,1461980930,Z,1,L,0,EU,6,3,1180,00
30,2171,1,72,4,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1072000400,,1461935560,Z,1,L,0,EU,6,3,1190,00
31,31,1,72,16,0,A,B,Q,1,left,dwelling,,,,N,,N,,1072001600,,1461964544,Z,1,L,0,EU,6,3,1200,00
32,2172,1,72,24,0,A,B,Q,1,left,dwelling,,,,N,,N,MIU replaced as previous owner removed and we could not locate 9/2012,1072002400,,1548147746,Z,1,L,0,EU,6,3,1220,00
33,1609,1,72,32,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1072003200,,1461900298,Z,1,L,0,EU,6,3,1230,00
34,2264,1,72,38,0,A,B,Q,1,right,dwelling,,,,N,,N,,1072003800,new MIU  08/30/13,1480545162,Z,1,L,0,EU,6,3,1240,00
35,1784,1,72,44,0,A,B,Q,1,left,dwelling,,,,N,,N,,1072004400,,1461956350,Z,1,L,0,EU,6,3,1250,00
36,1821,1,72,52,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1072005200,,1461965148,Z,1,L,0,EU,6,3,1260,00
37,1240,1,72,60,0,A,B,Q,1,front left low,dwelling,,,,N,,N,,1072006000,,1461920606,Z,1,L,0,EU,6,3,1270,00
38,1856,1,72,68,0,A,B,Q,1,front left low,dwelling,,,,N,,N,,1072006800,,1461900296,Z,1,L,0,EU,6,3,1280,00
39,39,1,72,69,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1072006900,,1461953578,Z,1,L,0,EU,6,3,1290,00
40,40,1,72,80,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1072008000,,1461900324,Z,1,L,0,EU,6,3,1300,00
41,1850,1,72,88,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1072008800,,1461899282,Z,1,L,0,EU,6,3,1310,00
42,2154,1,72,106,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1072010600,,1461895034,Z,1,L,0,EU,6,3,1320,00
43,43,1,72,113,0,A,B,Q,1,left rear,dwelling,,,,N,,N,,1072011300,,1461763552,Z,1,L,0,EU,6,3,1330,00
44,44,1,72,118,0,A,B,Q,1,front right,dwelling,,,,N,,N,Sewer in 4/2011,1072011800,,1481912954,Z,1,L,0,EU,6,3,1340,00
45,45,1,72,129,0,A,W,Q,1,front left,dwelling,,,,N,,N,,1072012900,,1461994544,Z,1,L,0,EU,6,3,1360,00
46,46,1,118,6,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1118000600,,1461992392,Z,1,L,0,EU,6,2,2760,00
47,2035,1,118,17,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1118001700,,1461994796,Z,1,L,0,EU,6,2,2770,00
48,48,1,118,21,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1118002100,,1461992394,Z,1,L,0,EU,6,2,2780,00
49,1741,1,118,22,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1118002200,,1461937410,Z,1,L,0,EU,6,2,2790,00
50,2307,1,144,4,0,A,B,Q,1,corner-right side,dwelling,,,,N,,N,,1144000400,,1461878220,Z,1,L,0,EU,6,1,790,00
51,51,1,144,7,0,A,B,Q,1,rt side cellar wndw,dwelling,,,,N,,N,,1144000700,,1462089946,Z,1,L,0,EU,6,1,800,00
52,52,1,144,16,0,A,B,Q,1,right,dwelling,,,,N,,N,,1144001600,,1461880562,Z,1,L,0,EU,6,1,810,00
53,53,1,144,17,0,A,B,Q,1,right front,dwelling,,,,N,,N,,1144001700,,1461918758,Z,1,L,0,EU,6,1,820,00
54,54,1,144,27,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1144002700,,1461897248,Z,1,L,0,EU,6,1,830,00
55,1251,1,144,28,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1144002800,,1548156678,Z,1,L,0,EU,6,1,840,00
56,56,1,144,37,0,A,B,Q,1,left,dwelling,,,,N,,N,,1144003700,,1461892110,Z,1,L,0,EU,6,1,850,00
57,2231,1,144,40,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1144004000,,1461918656,Z,1,L,0,EU,6,1,860,00
58,58,1,144,52,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1144005200,,1461897246,Z,1,L,0,EU,6,1,870,00
59,1795,1,144,53,0,A,B,Q,1,front,dwelling,,,,N,,N,,1144005300,,1461914112,Z,1,L,0,EU,6,1,880,00
60,2321,1,144,66,0,A,B,Q,1,in rear,dwelling,,,,N,,N,,1144006600,,1461901974,Z,1,L,0,EU,6,1,890,00
61,933,1,144,73,0,A,B,Q,1,left,dwelling,,,,N,,N,,1144007300,,1540369208,Z,1,L,0,EU,6,1,900,00
62,1656,1,144,80,0,A,B,Q,1,right side,dwelling,,,,N,,N,,1144008000,,1461880558,Z,1,L,0,EU,6,1,910,00
63,63,1,144,89,0,A,B,Q,1,front right,dwelling,,,,N,,N,,1144008900,,1484584198,Z,1,L,0,EU,6,1,920,00
64,1990,1,144,90,0,A,B,Q,1,front left,dwelling,,,,N,,N,,1144009000,,1461885026,Z,1,L,0,EU,6,1,930,00
65,65,1,144,95,0,A,B,Q,1,front right bush,dwelling,,,,N,,N,,1144009500,,1461918702,Z,1,L,0,EU,6,1,940,00
66,66,1,144,100,0,A,B,Q,1,left side,dwelling,,,,N,,N,,1144010000,,1461914108,Z,1,L,0,EU,6,1,950,00
67,1913,1,144,109,0,A,B,Q,1,side left front,dwelling,,,,N,,N,,1144010900,,1548125894,Z,1,L,0,EU,6,1,960,00
68,2180,1,144,112,0,A,B,Q,1,front,dwelling,,,,N,,N,,1144011200,,1461876850,Z,1,L,0,EU,6,1,970,00
69,69,1,144,122,0,A,B,Q,1,left side,dwelling,,,,N,,N,,1144012200,,1461883014,Z,1,L,0,EU,6,1,980,00
