StreetCode,StreetName,SortSeq
20,Baxter Avenue,0
40,Berldale Avenue,0
72,Brandegee Lane,0
88,Bruce Avenue,0
118,Carter Circle,0
144,Cindy Lane,0
190,Deerfield Drive,0
199,Dunham Drive,0
200,Earl Street,0
205,Eastbrook Terrace,0
248,Farmington Avenue,0
250,Fawn Drive,0
252,Fernstead Lane,0
261,Frontage Road,0
262,Fuller Way,0
304,Hamilton Drive,0
348,Highview Terrace,0
368,Hudson Street,0
376,Juniper Lane,0
394,Kramer Drive,0
404,Laurel Drive,0
408,Ledge Drive,0
428,Lower Lane,0
432,Madison Drive,0
456,Massirio Drive,0
480,Middletown Road,0
484,Mildrum Road,0
488,Mill Street,0
516,Norton Road,0
544,Overhill Drive,0
560,Patterson Way,0
582,Peter Parley Row,0
588,Pond Side Drive,0
598,Renee Drive,0
622,Ronal Drive,0
632,Sage Drive,0
636,Scarborough Fare,0
642,School Street,0
658,Seymour Road,0
678,Skyview Drive,0
679,Smoky Hill Road,0
696,St James Place,0
706,Sunset Lane,0
714,Terry Road,0
720,Town Farm Lane,0
730,Thyme Circle,0
740,Valley Drive,0
750,Walden Court,0
754,Washington Avenue,0
758,Webster Ridge,0
762,Webster Square Road,0
778,Westview Terrace,0
794,Berlin Tpke,0
806,Wildem Road,0
808,Wildermere Road,0
810,Willard Avenue,0
830,Woodbine Court,0
842,Woodlawn Road,0
846,Woodruff Circle,0
862,Worthington Ridge,0
