LocationID,CustomerID,BalAmount,IntAmount,BatchNumber,IntDate,RDDate
1,1,146.20,2.19,1,11/1/2003,
5,5,148.60,2.23,1,11/1/2003,
25,25,88.60,2.00,1,11/1/2003,
33,33,599.10,2.00,1,11/1/2003,
47,47,189.40,2.00,1,11/1/2003,
50,50,86.20,2.00,1,11/1/2003,
53,53,86.20,2.00,1,11/1/2003,
54,54,55.00,2.00,1,11/1/2003,
55,55,95.80,2.00,1,11/1/2003,
65,65,103.00,1.55,1,11/1/2003,
74,74,134.20,2.01,1,11/1/2003,
77,77,208.60,2.00,1,11/1/2003,
95,95,153.40,2.30,1,11/1/2003,
99,99,62.20,2.00,1,11/1/2003,
100,100,141.40,2.12,1,11/1/2003,
104,104,256.60,2.00,1,11/1/2003,
107,107,64.60,2.00,1,11/1/2003,
109,109,206.20,2.00,1,11/1/2003,
118,118,57.40,2.00,1,11/1/2003,
125,125,112.60,1.69,1,11/1/2003,
126,126,160.60,2.41,1,11/1/2003,
130,130,196.60,2.00,1,11/1/2003,
144,144,155.80,2.34,1,11/1/2003,
147,147,295.00,2.00,1,11/1/2003,
163,163,75.40,2.00,1,11/1/2003,
167,167,163.00,2.45,1,11/1/2003,
168,168,247.00,2.00,1,11/1/2003,
185,185,225.40,2.00,1,11/1/2003,
186,186,69.40,2.00,1,11/1/2003,
188,188,59.80,2.00,1,11/1/2003,
190,190,93.40,2.00,1,11/1/2003,
191,191,40.60,2.00,1,11/1/2003,
192,192,114.76,1.72,1,11/1/2003,
202,202,179.80,2.00,1,11/1/2003,
208,208,112.60,1.69,1,11/1/2003,
216,216,69.40,2.00,1,11/1/2003,
219,219,44.20,2.00,1,11/1/2003,
228,228,95.80,2.00,1,11/1/2003,
233,233,163.00,2.45,1,11/1/2003,
234,234,175.00,2.00,1,11/1/2003,
248,248,81.40,2.00,1,11/1/2003,
261,261,124.60,1.87,1,11/1/2003,
263,263,67.00,2.00,1,11/1/2003,
264,264,86.20,2.00,1,11/1/2003,
272,272,158.20,2.37,1,11/1/2003,
274,274,135.54,2.03,1,11/1/2003,
298,298,160.60,2.41,1,11/1/2003,
313,313,103.00,1.55,1,11/1/2003,
315,315,88.60,2.00,1,11/1/2003,
331,331,112.60,1.69,1,11/1/2003,
339,339,141.40,2.12,1,11/1/2003,
347,347,16.60,2.00,1,11/1/2003,
350,350,93.56,2.00,1,11/1/2003,
352,352,79.00,2.00,1,11/1/2003,
355,355,131.80,1.98,1,11/1/2003,
358,358,7.00,2.00,1,11/1/2003,
364,364,7.00,2.00,1,11/1/2003,
371,371,47.80,2.00,1,11/1/2003,
385,385,47.80,2.00,1,11/1/2003,
386,386,86.20,2.00,1,11/1/2003,
388,388,141.40,2.12,1,11/1/2003,
392,392,129.40,1.94,1,11/1/2003,
403,403,153.40,2.30,1,11/1/2003,
407,407,52.60,2.00,1,11/1/2003,
412,412,51.40,2.00,1,11/1/2003,
433,433,129.40,1.94,1,11/1/2003,
435,435,124.60,1.87,1,11/1/2003,
436,436,98.20,2.00,1,11/1/2003,
438,438,71.80,2.00,1,11/1/2003,
443,443,43.00,2.00,1,11/1/2003,
450,450,76.60,2.00,1,11/1/2003,
452,452,28.60,2.00,1,11/1/2003,
453,453,124.60,1.87,1,11/1/2003,
458,458,57.40,2.00,1,11/1/2003,
463,463,311.80,2.00,1,11/1/2003,
466,466,88.60,2.00,1,11/1/2003,
470,470,131.80,1.98,1,11/1/2003,
479,479,93.40,2.00,1,11/1/2003,
492,492,50.20,2.00,1,11/1/2003,
496,496,112.60,1.69,1,11/1/2003,
500,500,23.80,2.00,1,11/1/2003,
510,510,93.40,2.00,1,11/1/2003,
513,513,62.20,2.00,1,11/1/2003,
524,524,91.00,2.00,1,11/1/2003,
543,543,52.60,2.00,1,11/1/2003,
545,545,86.20,2.00,1,11/1/2003,
551,551,117.40,1.76,1,11/1/2003,
554,554,235.00,2.00,1,11/1/2003,
561,561,247.00,2.00,1,11/1/2003,
565,565,71.80,2.00,1,11/1/2003,
601,601,64.60,2.00,1,11/1/2003,
603,603,7.00,2.00,1,11/1/2003,
606,606,91.00,2.00,1,11/1/2003,
607,607,71.80,2.00,1,11/1/2003,
612,612,153.40,2.30,1,11/1/2003,
615,615,105.40,1.58,1,11/1/2003,
618,618,141.40,2.12,1,11/1/2003,
628,628,88.60,2.00,1,11/1/2003,
642,642,86.20,2.00,1,11/1/2003,
649,649,98.20,2.00,1,11/1/2003,
659,659,136.60,2.05,1,11/1/2003,
666,666,122.20,1.83,1,11/1/2003,
670,670,76.60,2.00,1,11/1/2003,
674,674,55.00,2.00,1,11/1/2003,
683,683,103.00,1.55,1,11/1/2003,
689,689,38.20,2.00,1,11/1/2003,
691,691,40.60,2.00,1,11/1/2003,
693,693,235.00,2.00,1,11/1/2003,
711,711,215.80,2.00,1,11/1/2003,
712,712,137.80,2.07,1,11/1/2003,
739,739,251.80,2.00,1,11/1/2003,
745,233,55.00,2.00,1,11/1/2003,
746,746,131.80,1.98,1,11/1/2003,
748,748,110.20,1.65,1,11/1/2003,
757,757,110.20,1.65,1,11/1/2003,
766,766,95.80,2.00,1,11/1/2003,
769,769,"1,243.34",2.00,1,11/1/2003,
786,786,11.80,2.00,1,11/1/2003,
818,818,131.80,1.98,1,11/1/2003,
820,820,119.80,1.80,1,11/1/2003,
821,821,249.40,2.00,1,11/1/2003,
825,825,213.40,2.00,1,11/1/2003,
829,829,163.00,2.45,1,11/1/2003,
838,838,213.40,2.00,1,11/1/2003,
849,849,129.40,1.94,1,11/1/2003,
861,861,146.20,2.19,1,11/1/2003,
866,866,182.20,2.00,1,11/1/2003,
867,867,160.60,2.41,1,11/1/2003,
869,869,155.80,2.34,1,11/1/2003,
874,874,59.80,2.00,1,11/1/2003,
875,875,155.80,2.34,1,11/1/2003,
876,876,91.80,2.00,1,11/1/2003,
883,883,100.60,1.51,1,11/1/2003,
885,885,266.20,2.00,1,11/1/2003,
897,897,33.40,2.00,1,11/1/2003,
901,901,50.20,2.00,1,11/1/2003,
907,907,92.32,2.00,1,11/1/2003,
910,910,53.80,2.00,1,11/1/2003,
912,912,61.00,2.00,1,11/1/2003,
918,918,127.00,1.91,1,11/1/2003,
921,921,252.02,2.00,1,11/1/2003,
924,924,292.60,2.00,1,11/1/2003,
925,925,167.80,2.00,1,11/1/2003,
935,935,305.08,2.00,1,11/1/2003,
952,952,335.00,2.00,1,11/1/2003,
956,956,182.20,2.00,1,11/1/2003,
959,959,103.00,1.55,1,11/1/2003,
964,964,91.00,2.00,1,11/1/2003,
965,965,131.80,1.98,1,11/1/2003,
970,970,26.20,2.00,1,11/1/2003,
971,971,62.20,2.00,1,11/1/2003,
997,997,153.40,2.30,1,11/1/2003,
1002,1002,23.42,2.00,1,11/1/2003,
1009,1009,508.60,2.00,1,11/1/2003,
1010,1010,472.60,2.00,1,11/1/2003,
1011,1011,435.04,2.00,1,11/1/2003,
1012,1012,55.00,2.00,1,11/1/2003,
1015,1015,26.00,2.00,1,11/1/2003,
1019,1019,91.00,2.00,1,11/1/2003,
1022,1022,7.12,2.00,1,11/1/2003,
1023,1022,26.32,2.00,1,11/1/2003,
1025,1025,64.02,2.00,1,11/1/2003,
1032,1032,30.00,2.00,1,11/1/2003,
1037,1037,446.42,2.00,1,11/1/2003,
1041,1041,105.40,1.58,1,11/1/2003,
1046,1046,125.80,1.89,1,11/1/2003,
1047,1047,813.40,2.00,1,11/1/2003,
1051,1051,286.98,2.00,1,11/1/2003,
1052,1052,8.07,2.00,1,11/1/2003,
1053,1053,292.84,2.00,1,11/1/2003,
1055,1055,133.26,2.00,1,11/1/2003,
1058,1058,26.00,2.00,1,11/1/2003,
1062,1062,165.40,2.48,1,11/1/2003,
1077,1077,78.40,2.00,1,11/1/2003,
1090,1090,213.40,2.00,1,11/1/2003,
1097,1097,26.20,2.00,1,11/1/2003,
1098,1098,50.20,2.00,1,11/1/2003,
1109,1109,287.80,2.00,1,11/1/2003,
1110,1110,165.40,2.48,1,11/1/2003,
1117,1117,159.98,2.40,1,11/1/2003,
1118,1118,838.68,2.00,1,11/1/2003,
1121,1121,88.60,2.00,1,11/1/2003,
1142,1142,167.80,2.00,1,11/1/2003,
1161,1161,56.92,2.00,1,11/1/2003,
