TransactionID,BatchNumber,LocationID,CustomerID,TxCode,TxPostingDate,TxBillingDate,TxPayDate,TxAmount,TxDescription,TxCurrentRead,TxEstimate,TxConsumption,TxWaterRate,TxSewerRate,TxSewerFlat,TxWaterChg,TxSewerChg,TxMeterChg,TxInterest,TxPayment,TxPriorRead,TxPriorCons,TxPriorAmt
23230,738,1165,1194,RD,1/3/2008,1/1/2008,1/25/2008,15.00,Water & Sewer Charge,1259460,FALSE,0,2.09,2.09,,0.00,0.00,15.00,0.00,15.00,1259460,0,15.00
23231,738,1166,1194,RD,1/3/2008,1/1/2008,1/25/2008,525.14,Water & Sewer Charge,629413,FALSE,11726,2.09,2.09,,245.07,245.07,35.00,0.00,525.14,617687,7727,357.98
23232,738,1167,1194,RD,1/3/2008,1/1/2008,1/25/2008,296.78,Water & Sewer Charge,777020,FALSE,7100,2.09,2.09,,148.39,148.39,0.00,0.00,296.78,769920,2890,120.80
23233,738,1170,1196,RD,1/3/2008,1/1/2008,1/18/2008,98.60,Water & Sewer Charge,109000,FALSE,2000,2.09,2.09,,41.80,41.80,15.00,0.00,98.60,107000,1000,56.80
23234,738,1171,1196,RD,1/3/2008,1/1/2008,1/18/2008,354.40,Water & Sewer Charge,1200,FALSE,8000,2.09,2.09,,167.20,167.20,20.00,0.00,354.40,993200,10700,467.26
23235,738,1172,1196,RD,1/3/2008,1/1/2008,1/18/2008,391.20,Water & Sewer Charge,1120000,FALSE,9000,2.09,2.09,,188.10,188.10,15.00,0.00,391.20,1111000,6000,265.80
23236,738,1173,1341,RD,1/3/2008,1/1/2008,2/25/2008,683.80,Water & Sewer Charge,1063000,FALSE,16000,2.09,2.09,,334.40,334.40,15.00,0.00,683.80,1047000,10000,433.00
23237,738,1175,1193,RD,1/3/2008,1/1/2008,2/28/2008,440.52,Water & Sewer Charge,1996670,FALSE,10180,2.09,2.09,,212.76,212.76,15.00,0.00,440.52,1986490,3020,141.24
23241,738,1047,1047,RD,1/3/2008,1/1/2008,6/13/2008,"1,414.48",Water & Sewer Charge,189700,FALSE,33600,2.09,2.09,,702.24,702.24,10.00,0.00,"1,414.48",156100,30100,"1,268.18"
23242,0,546,546,MC,1/15/2008,1/15/2008,1/16/2008,20.00,Bounced check fee,0,FALSE,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0,0,0.00
23243,744,1165,1194,RD,2/1/2008,2/1/2008,2/15/2008,15.00,Water & Sewer Charge,1259460,FALSE,0,2.09,2.09,,0.00,0.00,15.00,0.00,15.00,1259460,0,15.00
23244,744,1166,1194,RD,2/1/2008,2/1/2008,2/15/2008,403.00,Water & Sewer Charge,638217,FALSE,8804,2.09,2.09,,184.00,184.00,35.00,0.00,403.00,629413,11726,525.14
23245,744,1167,1194,RD,2/1/2008,2/1/2008,2/15/2008,159.68,Water & Sewer Charge,780840,FALSE,3820,2.09,2.09,,79.84,79.84,0.00,0.00,159.68,777020,7100,296.78
23246,744,1170,1196,RD,2/1/2008,2/1/2008,2/28/2008,98.60,Water & Sewer Charge,111000,FALSE,2000,2.09,2.09,,41.80,41.80,15.00,0.00,98.60,109000,2000,98.60
23247,744,1171,1196,RD,2/1/2008,2/1/2008,2/28/2008,350.22,Water & Sewer Charge,9100,FALSE,7900,2.09,2.09,,165.11,165.11,20.00,0.00,350.22,1200,8000,354.40
23248,744,1172,1196,RD,2/1/2008,2/1/2008,2/28/2008,265.80,Water & Sewer Charge,1126000,FALSE,6000,2.09,2.09,,125.40,125.40,15.00,0.00,265.80,1120000,9000,391.20
23249,744,1173,1341,RD,2/1/2008,2/1/2008,2/25/2008,433.00,Water & Sewer Charge,1073000,FALSE,10000,2.09,2.09,,209.00,209.00,15.00,0.00,433.00,1063000,16000,683.80
23250,744,1175,1193,RD,2/1/2008,2/1/2008,2/28/2008,255.36,Water & Sewer Charge,2002420,FALSE,5750,2.09,2.09,,120.18,120.18,15.00,0.00,255.36,1996670,10180,440.52
23254,744,1047,1047,RD,2/7/2008,2/1/2008,6/13/2008,118.68,Water & Sewer Charge,192300,FALSE,2600,2.09,2.09,,54.34,54.34,10.00,0.00,118.68,189700,33600,"1,414.48"
23256,0,165,165,MC,2/4/2009,2/4/2009,3/17/2009,680.83,"6th Install. - Sewer Connec. 1252 Farm. Ave.
    $633.33 + $47.50 = $680.83  DUE 3/12/09
Any installment not paid within 30 days after due date
shall become delinquent and subject to int. and lien fee.

  ^",0,FALSE,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,680.83,0,0,0.00
23269,749,1047,1047,RD,3/3/2008,3/1/2008,6/20/2008,160.48,Water & Sewer Charge,195900,FALSE,3600,2.09,2.09,,75.24,75.24,10.00,0.00,160.48,192300,2600,118.68
23270,749,1165,1194,RD,3/3/2008,3/1/2008,3/20/2008,15.00,Water & Sewer Charge,1259460,FALSE,0,2.09,2.09,,0.00,0.00,15.00,0.00,15.00,1259460,0,15.00
23271,749,1166,1194,RD,3/3/2008,3/1/2008,3/20/2008,374.34,Water & Sewer Charge,646335,FALSE,8118,2.09,2.09,,169.67,169.67,35.00,0.00,374.34,638217,8804,403.00
