BACK TAX CODE,LIST NO,YEAR,TYPE,NAME,SECOND NAME,ADDRESS 1,ADDRESS 2,CITY,STATE,ZIP5,ZIP4,TOTAL TAX DUE,1ST PMT DUE,2ND PMT DUE,GROSS ASSESSMENT,TOTAL EXEMPTION,NET ASSESSMENT,LOCATION #,LOCATION NAME,PROPERTY DESC1,PROPERTY DESC2,DISTRICT,MILL RATE,TOWN NO.,C OF C TEXT,C OF C NO,C OF C DATE,TAX BASE BEFORE,MILL RATE BEFORE,USER MESSAGE,OCR SCAN LINE,EDP TEXT,EDP AMOUNT,TOTAL DUE 3RD,TOTAL DUE 4TH,CITY TAX DUE,CITY MILL RATE,FIRE TAX DUE,FIRE MILL RATE,BAR CODE
"",420849,2012,"P","A & S CONSTRUCTION","","39 ADAMS ST","","WINSTED","CT","06098","0000",94.85,94.85,0.00,3040,0,3040,"     39","ADAMS ST","Furniture-Data Processing Eqip-Supplies-All Others","",0,31.200,162,"",0,,0,0,"",16220120124208498000009485400000948549,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420849P2012*
"",421064,2012,"P","A NEW DAY THERAPEUTIC MESSAGE LLC","C/O PATRICIA SHELESKY","686 MAIN ST","","WINSTED","CT","06098","0000",53.70,53.70,0.00,1721,0,1721,"    686","MAIN ST","Furniture-Data Processing Eqip-Supplies-All Others","",0,31.200,162,"",0,,0,0,"",16220120124210643000005370200000537026,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*421064P2012*
"",420631,2012,"P","AAO REALTY LLC","","1075 MERRICK AVE","","MERRICK","NY","11566","0000",428.06,214.03,214.03,13720,0,13720,"    390","WINCHESTER RD","Non-Reg Motor Vehicl-Furniture-Farming Tools-Mechanic's Tools","",0,31.200,162,"",0,,0,0,"",16220120124206310000042806000002140319,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420631P2012*
"",400010,2012,"P","ABC PIZZA HOUSE","","228 MAIN STREET","","WINSTED","CT","06098","0000",361.70,180.85,180.85,11593,0,11593,"    228","MAIN ST","Furniture-Supplies","",0,31.200,162,"",0,,0,0,"",16220120124000101000036170900001808512,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*400010P2012*
"",400254,2012,"P","ACTEX PUBLICATIONS INC","DBA MAD RIVER BOOKS","PO BOX 974","","WINSTED","CT","06098","0000",1588.80,794.40,794.40,50923,0,50923,"    107","GROPPO DRIVE STE A","Furniture-Data Processing Eqip-Supplies","",0,31.200,162,"",0,,0,0,"",16220120124002545000158880500007944045,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*400254P2012*
"",420705,2012,"P","ACTION BLUEPRINT LLC","","284 BROAD ST","","MANCHESTER","CT","06040","4034",31.45,31.45,0.00,1008,0,1008,"","","Furniture","",0,31.200,162,"",0,,0,0,"",16220120124207052000003145000000314501,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420705P2012*
"",406801,2012,"P","AD COMM INK LLC","","716 MAIN ST","","WINSTED","CT","06098","0000",475.62,237.81,237.81,15244,0,15244,"    716","MAIN ST","Furniture-Data Processing Eqip-Supplies","",0,31.200,162,"",0,,0,0,"",16220120124068017000047562400002378185,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*406801P2012*
"",420548,2012,"P","ADP INC","","1 ADP BLVD M/S #433","","ROSELAND","NJ","07068","0000",65.40,65.40,0.00,2096,0,2096,"","","Furniture","",0,31.200,162,"",0,,0,0,"",16220120124205486000006540900000654093,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420548P2012*
"",420457,2012,"P","ADT LLC","ATTN: PAMELA D RUNKEL","P O BOX 310773","","BOCA RATON","FL","33431","0773",81.53,81.53,0.00,2613,0,2613,"","VARIOUS","Furniture","",0,31.200,162,"",0,,0,0,"",16220120124204570000008153900000815393,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420457P2012*
"",420537,2012,"P","AIR PRODUCTS & CHEMICALS INC","","7201 HAMILTON BLVD TAX DEPT","","ALLENTOWN","PA","18195","1501",95.78,95.78,0.00,3070,0,3070,"    149","COLEBROOK RIVER RD","Furniture","",0,31.200,162,"",0,,0,0,"",16220120124205379000009578600000957860,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420537P2012*
"",401450,2012,"P","AKAAL MANAGEMENT LLC","","489 GREYLOCK STREET","","LEE","MA","01238","0000",840.06,420.03,420.03,26925,0,26925,"     60","SOUTH MAIN ST","Furniture-Penalty","",0,31.200,162,"",0,,0,0,"",16220120124014508000084006600004200341,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*401450P2012*
"",420871,2012,"P","ALBERT BROS INC","","225 EAST AURORA ST","","WATERBURY","CT","06708","0000",367.04,183.52,183.52,11764,0,11764,"    150","PRICE RD","Machinery","",0,31.200,162,"",0,,0,0,"",16220120124208712000036704500001835256,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420871P2012*
"",420939,2012,"P","ALL SEASONS LLC","C/O RICHARD GOUGH","823 E WAKEFIELD BLVD","","WINSTED","CT","06098","0000",16.38,16.38,0.00,525,0,525,"    823","E WAKEFIELD BLVD","Machinery","",0,31.200,162,"",0,,0,0,"",16220120124209397000001638600000163868,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420939P2012*
"",420967,2012,"P","ALLSTATE INSURANCE","","40 PARK PLACE EAST","","WINSTED","CT","06098","0000",195.00,97.50,97.50,6250,0,6250,"     40","PARK PLACE","Furniture-Penalty","",0,31.200,162,"",0,,0,0,"",16220120124209678000019500800000975010,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420967P2012*
"",410000,2012,"P","ALLSTATE INSURANCE CO","","3 RESOURCE SQUARE","10815 DAVID TAYLOR DR","CHARLOTTE","NC","28262","0000",3.06,3.06,0.00,98,0,98,"     40","PARK PLACE EAST","Supplies-All Others","",0,31.200,162,"",0,,0,0,"",16220120124100000000000306100000030616,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*410000P2012*
"",421110,2012,"P","AMERICAN COLLARS","","88 HUBBARD ST","","WINSTED","CT","06098","0000",493.28,246.64,246.64,64360,48550,15810,"     88","HUBBARD ST","New Mfg. Equip-Furniture","",0,31.200,162,"ADJUSTED TAX:",92608,4/15/2013,0,0,"",16220120124211104000049328800002466455,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*421110P2012*
"",420550,2012,"P","AMERICAN TOWERS INC","","P O BOX 723597","","ATLANTA","GA","31139","0000",927.08,463.54,463.54,29714,0,29714,"    428","PLATT HILL RD","TELECOMMUNICATIONS","",0,31.200,162,"",0,,0,0,"",16220120124205502000092708700004635474,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420550P2012*
"",420475,2012,"P","AMERIGAS PROPANE LP","","P O BOX 798","","VALLEY FORGE","PA","19482","0000",183.78,91.89,91.89,5890,0,5890,"","","Machinery","",0,31.200,162,"",0,,0,0,"",16220120124204752000018378000000918925,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420475P2012*
"",421036,2012,"P","APPLUS TECHNOLOGIES","","444 N MICHIGAN AVE -STE 1110","","CHICAGO","IL","60611","0000",256.74,128.37,128.37,8229,0,8229,"      6","WILLOW ST","Machinery","",0,31.200,162,"",0,,0,0,"",16220120124210361000025674300001283719,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*421036P2012*
"",420929,2012,"P","AREL BUILDING & REMODELING","C/O RAY AREL JR","232 E WAKEFIELD BLVD","","WINSTED","CT","06098","0000",76.13,76.13,0.00,2440,0,2440,"    232","E WAKEFIELD BLVD","Machinery-Penalty","",0,31.200,162,"",0,,0,0,"",16220120124209298000007613300000761334,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420929P2012*
"",421068,2012,"P","ASAP MFG","C/O DAVID FAZZINA","95 MAPLE ST","","WINSTED","CT","06098","0000",18.41,18.41,0.00,37300,36710,590,"     95","MAPLE ST","New Mfg. Equip-Furniture","",0,31.200,162,"",0,,0,0,"",16220120124210684000001841600000184162,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*421068P2012*
"BT",400251,2012,"P","ASSOCIATED REHABILITATION SER","DBA PHYSICAL THERAPY CENTER","401 WEST WAKEFIELD BLVD","","WINSTED","CT","06098","0000",170.66,85.33,85.33,5470,0,5470,"    401","WEST WAKEFIELD","Furniture-Data Processing Eqip-Supplies","",0,31.200,162,"",0,,0,0,"",16220121024002511000017066200000853320,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*400251P2012*
"",420604,2012,"P","AT&T MOBILITY LLC","C/O AT&T PROPERTY TAX DEPT","909 CHESNUT ST RM 36-M-1","","ST LOUIS","MO","63101","0000",2639.62,1319.81,1319.81,84603,0,84603,"     15","OAKDALE AVE","TELECOMMUNICATIONS","",0,31.200,162,"",0,,0,0,"",16220120124206047000263962300013198136,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420604P2012*
"",420519,2012,"P","AT&T SERVICES INC","","909 CHESTNUT, RM 36M-1","","ST LOUIS","MO","63101","0000",228.96,114.48,114.48,7338,0,7338,"","","Furniture-Data Processing Eqip","",0,31.200,162,"",0,,0,0,"",16220120124205197000022896500001144886,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*420519P2012*
"",400210,2012,"P","AUTOMATIC COIN MACHINE","","51 CENTER STREET","","TORRINGTON","CT","06790","0000",45.08,45.08,0.00,1445,0,1445,"","","Furniture","",0,31.200,162,"",0,,0,0,"",16220120124002107000004508800000450884,"",0,0.00,0.00,0.00,0.000,0.00,0.000,*400210P2012*
